Value,Description
1,CANCEL AFTER
10,REQUESTED SHIP
10,"SHIPMENT DATE/TIME, REQUESTED"
100,NO SHIPPING SCHEDULE ESTABLISHED AS OF
101,NO PRODUCTION SCHEDULE ESTABLISHED AS OF
101,"PRODUCTION DATE, NO SCHEDULE ESTABLISHED AS OF"
102,ISSUE
103,AWARD
104,SYSTEM SURVEY
105,QUALITY RATING
106,REQUIRED BY
107,DEPOSIT
107,DEPOSIT DATE/TIME
108,POSTMARK
108,POSTMARK DATE/TIME
109,RECEIVE AT LOCKBOX DATE
109,RECEIVED AT LOCKBOX
11,DESPATCH DATE AND OR TIME
11,SHIPPED
110,ORIGINALLY SCHEDULED SHIP
110,"SHIP DATE, ORIGINALLY SCHEDULED"
111,MANIFEST/SHIP NOTICE
111,MANIFEST/SHIP NOTICE DATE
112,BUYERS DOCK
113,SAMPLE REQUIRED
113,SAMPLE REQUIRED DATE
114,TOOLING REQUIRED
114,TOOLING REQUIRED DATE
115,SAMPLE AVAILABLE
115,SAMPLE AVAILABLE DATE
116,"EQUIPMENT RETURN PERIOD, EXPECTED"
116,SCHEDULED INTERCHANGE DELIVERY
117,"DELIVERY DATE/TIME, FIRST"
118,CARGO BOOKING CONFIRMED DATE/TIME
118,REQUESTED PICKUP
119,TEST COMPLETION DATE
119,TEST PERFORMED
12,TERMS DISCOUNT DUE
12,TERMS DISCOUNT DUE DATE/TIME
120,CONTROL PLAN
121,FEASIBILITY SIGN OFF
122,FAILURE MODE EFFECTIVE
123,DOCUMENTARY CREDIT EXPIRY DATE/TIME
124,DESPATCH NOTE DATE
124,GROUP CONTRACT EFFECTIVE
125,GROUP CONTRACT EXPIRATION
125,IMPORT LICENCE DATE
126,CONTRACT DATE
126,WHOLESALE CONTRACT EFFECTIVE
127,WHOLESALE CONTRACT EXPIRATION
128,"DELIVERY DATE/TIME, LAST"
128,REPLACEMENT EFFECTIVE
129,CUSTOMER CONTRACT EFFECTIVE
129,EXPORTATION DATE
13,TERMS NET DUE
13,TERMS NET DUE DATE
130,CUSTOMER CONTRACT EXPIRATION
131,ITEM CONTRACT EFFECTIVE
131,TAX POINT DATE
132,"ARRIVAL DATE/TIME, ESTIMATED"
132,ITEM CONTRACT EXPIRATION
133,ACCOUNTS RECEIVABLE - STATEMENT DATE
133,"DEPARTURE DATE/TIME, ESTIMATED"
134,RATE OF EXCHANGE DATE/TIME
134,READY FOR INSPECTION
135,BOOKING
135,TELEX DATE
136,DEPARTURE DATE/TIME
136,TECHNICAL RATING
137,DELIVERY RATING
137,DOCUMENT/MESSAGE DATE/TIME
138,COMMERCIAL RATING
138,PAYMENT DATE
139,ESTIMATED
14,DEFERRED PAYMENT
14,"PAYMENT DATE/TIME, DEFERRED"
140,ACTUAL
140,PAYMENT DUE DATE
141,ASSIGNED
141,PRESENTATION DATE OF GOODS DECLARATION (CUSTOMS)
142,LABOUR WAGE DETERMINATION DATE
142,LOSS
143,ACCEPTANCE DATE/TIME OF GOODS
143,DUE DATE OF FIRST PAYMENT TO PRINCIPAL AND INTEREST
144,ESTIMATED ACCEPTANCE
144,QUOTA DATE
145,EVENT DATE
145,OPENING DATE
146,CLOSING DATE
146,"ENTRY DATE, ESTIMATED (CUSTOMS)"
147,DUE DATE LAST COMPLETE INSTALLMENT PAID
147,EXPIRY DATE OF EXPORT LICENCE
148,ACCEPTANCE DATE OF GOODS DECLARATION (CUSTOMS)
148,DATE OF LOCAL OFFICE APPROVAL OF CONVEYANCE OF DAMAGED REAL ESTAT
149,DATE DEED FILED FOR RECORD
149,"INVOICE DATE, REQUIRED"
15,PROMOTION START
15,PROMOTION START DATE/TIME
150,DECLARATION/PRESENTATION DATE
150,SERVICE PERIOD START
151,IMPORTATION DATE
151,SERVICE PERIOD END
152,EFFECTIVE DATE OF CHANGE
152,EXPORTATION DATE FOR TEXTILES
153,"CANCELLATION DATE/TIME, LATEST"
153,SERVICE INTERRUPTION
154,ACCEPTANCE DATE OF DOCUMENT
154,ADJUSTMENT PERIOD START
155,ACCOUNTING PERIOD START DATE
155,ADJUSTMENT PERIOD END
156,ACCOUNTING PERIOD END DATE
156,ALLOTMENT PERIOD START
157,TEST PERIOD START
157,VALIDITY START DATE
158,HORIZON START DATE
158,TEST PERIOD ENDING
159,BID PRICE EXCEPTION
159,HORIZON END DATE
16,PROMOTION END
16,PROMOTION END DATE/TIME
160,AUTHORIZATION DATE
160,SAMPLES TO BE RETURNED BY
161,LOADED ON VESSEL
161,RELEASE DATE OF CUSTOMER
162,PENDING ARCHIVE
162,RELEASE DATE OF SUPPLIER
163,ACTUAL ARCHIVE
163,PROCESSING START DATE/TIME
164,FIRST ISSUE
164,PROCESSING END DATE/TIME
165,FINAL ISSUE
165,TAX PERIOD START DATE
166,MESSAGE
166,TAX PERIOD END DATE
167,CHARGE PERIOD START DATE
167,MOST RECENT REVISION (OR INITIAL VERSION)
168,CHARGE PERIOD END DATE
168,RELEASE
169,LEAD TIME
169,PRODUCT AVAILABILITY DATE
17,"DELIVERY DATE/TIME, ESTIMATED"
17,ESTIMATED DELIVERY
170,SETTLEMENT DUE DATE
170,SUPPLEMENTAL ISSUE
171,REFERENCE DATE/TIME
171,REVISION
172,CORRECTION
172,HIRED FROM DATE
173,HIRED UNTIL DATE
173,WEEK ENDING
174,ADVISE AFTER DATE/TIME
174,MONTH ENDING
175,ADVISE BEFORE DATE/TIME
175,CANCEL IF NOT SHIPPED BY
176,ADVISE COMPLETED DATE/TIME
176,EXPEDITED ON
177,ADVISE ON DATE/TIME
177,CANCELLATION
178,"ARRIVAL DATE/TIME, ACTUAL"
178,HOLD (AS OF)
179,BOOKING DATE/TIME
179,HOLD AS STOCK (AS OF)
18,AVAILABLE
18,INSTALLATION DATE/TIME/PERIOD
180,CLOSING DATE/TIME
180,NO PROMISE (AS OF)
181,POSITIONING DATE/TIME OF EQUIPMENT
181,STOP WORK (AS OF)
182,ISSUE DATE
182,WILL ADVISE (AS OF)
183,CONNECTION
183,"DATE, AS AT"
184,INVENTORY
184,NOTIFICATION DATE/TIME
185,COMMENCED TANK CLEANING DATE/TIME
185,VESSEL REGISTRY
186,"DEPARTURE DATE/TIME, ACTUAL"
186,INVOICE PERIOD START
187,AUTHENTICATION DATE/TIME OF DOCUMENT
