Value,Description
1,BIRTH CERTIFICATE
2,PASSPORT
3,HOSPITAL CERTIFICATE
4,AFFIDAVIT
5,IMMIGRATION DOCUMENT
6,BAPTISMAL OR CHURCH CERTIFICATE
7,PHYSICIAN'S CERTIFICATE
8,UNDOCUMENTED
9,DRIVER'S LICENSE
A,PHOTO ID
B,SOCIAL INSURANCE CERTIFICATE
C,US PASSPORT
D,CERTIFICATE OF US CITIZENSHIP
E,CERTIFICATE OF NATURALIZATION
F,UNEXPIRED FOREIGN PASSPORT WITH STAMP OR ATTACHED IMMIGRATION AND
G,ALIEN REGISTRATION RECEIPT CARD WITH PHOTOGRAPH
H,UNEXPIRED TEMPORARY RESIDENT CARD
I,UNEXPIRED EMPLOYMENT AUTHORIZATION CARD
J,UNEXPIRED REENTRY PERMIT
K,UNEXPIRED REFUGEE TRAVEL DOCUMENT
