Value,Description
AA,STADIUM TAX
AB,SURTAX
AC,DEPARTURE
AD,ACCOMMODATIONS TAX
AE,AD VALOREM TAX
AF,ALCOHOLIC BEVERAGE TAX
AG,COIN OPERATED DEVICE TAX
AH,CORPORATE INCOME TAX
AI,EMPLOYMENT TAX
AJ,ESTATE TAX
AK,FEE-IN-LIEU
AL,GAMING TAX
AM,GIFT TAX
AN,HIGHWAY (FUEL) USE TAX
AO,INTERNATIONAL FUEL TAX AGREEMENT (IFTA) TAX
AP,INDIVIDUAL INCOME TAX
AQ,INHERITANCE TAX
AR,MOTOR FUEL TAX
AS,PERSONAL PROPERTY TAX
AT,ASSESSMENT
AU,REAL PROPERTY TAX
AV,SEVERANCE TAX
AW,SOLID WASTE TAX
AX,TOBACCO TAX
AY,TOURISM TAX
AZ,TRANSIT TAX
BA,UNEMPLOYMENT TAX
BB,USE TAX
BC,WITHHOLDING TAX
BD,WORKER'S COMPENSATION TAX
BE,HARMONIZED SALES TAX
BP,BUSINESS PRIVILEGE TAX
CA,CITY TAX
CB,THRESHOLD TAX
CG,FEDERAL VALUE-ADDED TAX (GST) ON GOODS
CI,CITY RENTAL TAX
CP,COUNTY/PARISH SALES TAX
CR,COUNTY RENTAL TAX
CS,CITY SALES TAX
CT,COUNTY TAX
CV,FEDERAL VALUE-ADDED TAX (GST) ON SERVICES
DL,DEFAULT LABOR TAX
EQ,EQUIPMENT TAX
ET,ENERGY TAX
EV,ENVIRONMENTAL TAX
F1,FICA TAX
F2,FICA MEDICARE TAX
F3,FICA SOCIAL SECURITY TAX
FD,FEDERAL TAX
FF,FUEL SUPER FUND TAX
FI,FEDERAL INCOME TAX WITHHOLDING
FL,FUEL L.U.S.T. TAX (LEAKING UNDERGROUND STORAGE TANK)
FR,FRANCHISE TAX
FS,FUEL SPILL TAX
FT,FEDERAL EXCISE TAX
GR,GROSS RECEIPTS TAX
GS,GOODS AND SERVICES TAX
HS,PUBLIC HEALTH AND EDUCATION TAX
HT,HANDICAP TAX
HZ,HAZARDOUS WASTE TAX
LB,LABOR BY TRADE TAX
LO,LOCAL TAX (NOT SALES TAX)
LS,STATE AND LOCAL SALES TAX
LT,LOCAL SALES TAX (ALL APPLICABLE SALES TAXES BY TAXING AUTHORITY B
LU,LEAKY UNDERGROUND STORAGE TANK (LUST) TAX (FEDERAL)
LV,LEAKY UNDERGROUND STORAGE TANK (LUST) TAX (STATE)
MA,MATERIAL TAX
MN,MINIMUM TAX
MP,MUNICIPAL TAX
MS,MISCELLANEOUS STATE TAX
MT,METROPOLITAN TRANSIT TAX
OH,OTHER TAXES
OT,OCCUPATIONAL TAX
PG,STATE OR PROVINCIAL TAX ON GOODS
PS,STATE OR PROVINCIAL TAX ON SERVICES
SA,STATE OR PROVINCIAL FUEL TAX
SB,SECONDARY PERCENTAGE TAX
SC,SCHOOL TAX
SE,STATE EXCISE TAX
SF,SUPERFUND TAX
SL,STATE AND LOCAL TAX
SP,STATE/PROVINCIAL TAX
SR,STATE RENTAL TAX
SS,STATE TAX ON SPECIFIC LABOR
ST,STATE SALES TAX
SU,SALES AND USE TAX
SX,ENHANCED 911 - STATE EXCISE TAX
T1,PRE-THRESHOLD TAX
T2,POST THRESHOLD TAX
TD,TELECOMMUNICATIONS DEVICE FOR THE DEAF (TDD) SERVICE EXCISE TAX
TT,TELECOMMUNICATIONS TAX
TX,ALL TAXES
UL,LICENSE TAX
UT,UTILITY USERS' TAX
VA,VALUE ADDED TAX
WS,WELL SERVICE
ZA,911-CITY TAX
ZB,911-COUNTY TAX
ZC,911-EXCISE TAX
ZD,911-STATE TAX
ZE,911-TAX
ZZ,MUTUALLY DEFINED
