Value,Description
8A,SECTION (8A) SET-ASIDE
AA,ADD QUANTITY TO MAKE MINIMUM WEIGHT REQUIREMENT
AB,NOTIFY PRIOR TO SHIPMENT IF QUANTITY SPECIFIED IS NOT AVAILABLE
AI,SET-ASIDE FOR AMERICAN INDIAN-OWNED BUSINESS
AS,RESTRICTED TO APPROVED SOURCES
B,BACK ORDER ONLY IF NEW ITEM
BC,RESTRICTED TO HISTORICALLY BLACK COLLEGE OR UNIVERSITY OR MINORIT
BK,SHIP PARTIAL - BALANCE BACK ORDER
C,CONSIGNMENT
D,BID GUARANTEE
E,EQUAL PRODUCT ALLOWED
EI,RESTRICTED TO EDUCATIONAL INSTITUTIONS
F,FACTORY SHIP
FT,SHIP FULL TRUCK ONLY
GS,GUARANTEED SALE
HZ,HISTORICALLY UNDERUTILIZED BUSINESS (HUB) ZONE
IP,RESTRICTED TO INDUSTRIAL PREPAREDNESS PROGRAM PARTICIPANTS
IS,SUBSTITUTE ITEM ALLOWED
K,SMALL PURCHASE SET ASIDE FOR SMALL BUSINESSES
LS,LABOR SURPLUS AREA SET-ASIDE
MY,MULTI-YEAR AWARD
N,NO BACK ORDER
NS,NO SUBSTITUTES
O,BACK ORDER IF ITEMS ARE OUT OF STOCK OR NOT YET PUBLISHED
P,"LARGE PURCHASE, SET-ASIDE FOR SMALL BUSINESS"
P2,SHIP AS SOON AS POSSIBLE
P3,MAY PRESHIP
P4,DO NOT PRESHIP
Q,"SMALL, DISADVANTAGED BUSINESS SET-ASIDE"
QB,ON QUALIFIED BIDDERS LIST
QE,EXCLUDE IMPORT QUOTA IN FIRST COST
QI,INCLUDE IMPORT QUOTA IN FIRST COST
QM,ON QUALIFIED MANUFACTURERS LIST
QP,RESTRICTED TO QUALIFIED PRODUCTS LIST (QPL) PRODUCTS
R,"COMBINED SMALL, DISADVANTAGED BUSINESS AND LABOR SURPLUS AREA SET"
S,PARTIAL LABOR SURPLUS AREA SET ASIDE
SC,SHIP COMPLETE
SE,SMALL REMAINING BALANCE CANCELLATION ALLOWED
SF,"SHIP PARTIAL, CARLOAD LOTS ONLY"
SG,SMALL REMAINING BALANCE CANCELLATION NOT ALLOWED
SI,SHIP IN-PLACE
SP,"SHIP PARTIAL, BALANCE CANCEL"
SQ,"SHIP PARTIAL, ITEM QTY PROPORTIONAL TO TOTAL ORDER"
SS,SHIP PER SCHEDULE
ST,"SHIP PARTIAL, TRUCKLOAD LOTS ONLY"
SU,"SHIP PARTIAL, BALANCE SUBSTITUTE"
SV,SHIP PER RELEASE
SW,SHIP PER RELEASE OR BUYER AUTHORIZATION
T,"SMALL BUSINESS WITH SMALL, DISADVANTAGED BUSINESS CONSIDERATION S"
UC,RESTRICTED TO U.S. AND CANADIAN SOURCES
UL,OTHER UNLISTED SALES CONDITION
UP,UNRESTRICTED PROCUREMENT
W,WAREHOUSE SHIP
WY,WARRANTY
Y,BACK ORDER IF OUT OF STOCK
YI,RESTRICTED TO YOUNG INVESTIGATOR PROGRAM
Z,MUTUALLY DEFINED
