Value,Description
1,GUARANTEED INTEREST RATE
10,COMPLETE
11,REMAINING
12,VACANT
13,OWNER OCCUPANCY
14,AVAILABILITY FACTOR
15,EFFICIENCY FACTOR
16,SCRAP OR REWORK YIELD
17,PHYSICAL (PERCENT) COMPLETED
18,PERCENT OF VALUE
19,PREMIUM RATE
2,LOCKED INTEREST RATE
20,LOAN-TO-VALUE BALANCE REMAINING
21,ANNUAL DEMAND QUANTITY WEIGHTING FACTOR
22,ANNUAL DEMAND VALUE WEIGHTING FACTOR
23,ESSENTIALITY WEIGHTING FACTOR
24,PROCUREMENT LEAD-TIME WEIGHTING FACTOR
25,MONTHS TO PROCUREMENT WEIGHTING FACTOR
26,ANNUAL DEMAND FREQUENCY WEIGHTING FACTOR
27,TENANT OCCUPANCY
28,OCCUPANCY RATE
29,WORKING CAPITAL NEED TO SALES
3,CREDITORS TO SALES COSTS
30,ACTIVE CONTRACTS DELINQUENT-CONTRACTOR CAUSED
31,ACTIVE CONTRACTS DELINQUENT-ALL CAUSES
32,ACTIVE LINE ITEMS DELINQUENT-CONTRACTOR CAUSED
33,ACTIVE LINE ITEMS DELINQUENT-ALL CAUSES
34,CONTRACTS COMPLETED DELINQUENT-CONTRACTOR CAUSED
35,CONTRACTS COMPLETED DELINQUENT-ALL CAUSES
36,LINE ITEMS COMPLETED DELINQUENT-CONTRACTOR CAUSED
37,LINE ITEMS COMPLETED DELINQUENT-ALL CAUSES
38,DELINQUENT ACTIVE LINE ITEMS IN THE AGING POPULATION
39,LIQUID ASSETS TO SALES
4,INTEREST PAYABLE TO SALES
40,PARTICIPATION
41,SERVICING FEE
42,PERCENTAGE OF ORIGINAL LOAN AMOUNT
43,PERCENTAGE OF PRINCIPAL BALANCE
44,PERCENTAGE OF PRINCIPAL AND INTEREST PAYMENT
45,PERCENTAGE OF TOTAL MORTGAGE PAYMENT
46,GUARANTEE FEE PER CONTRACT
47,GUARANTEE FEE AFTER ALTERNATE PAYMENT METHOD
48,GUARANTEE FEE AFTER BUYUP OR BUYDOWN
49,BUYUP OR BUYDOWN RATE PER BASIS POINT
5,TARGET FEE OR PROFIT
50,SECURITY MARGIN
51,INSURANCE COVERAGE
52,GUARANTEE AMOUNT
53,PARTICIPATION RETAINED OR OWNED
54,INVENTORY TO COST OF GOODS SOLD
55,NET PROFIT MARGIN
56,FINANCIAL EXPENSES TO SALES
57,RETURN ON VALUE ADDED
58,EMPLOYEE COSTS TO VALUE ADDED
59,BASEMENT FINISHED
6,CURRENT SCHEDULE VARIANCE
60,LATE CHARGE RATE
62,TOTAL ASSETS TO TOTAL LIABILITY
65,INDEBTEDNESS
66,LIQUID RATIO
67,NET WORTH TO TOTAL ASSETS
68,SUBCONTRACTED
69,PERCENT OF POINTS PAID BY BORROWER
7,CURRENT COST VARIANCE
70,PERCENT OF POINTS PAID BY SELLER
71,PERCENT OF POINTS PAID BY OTHER
72,COOPERATIVE
73,MARKUP
76,SALES PER EMPLOYEE
77,SALES TO NET WORKING CAPITAL
78,TAX PERCENTAGE FACTOR
79,TOTAL LIABILITY TO NET WORTH
8,CUMULATIVE SCHEDULE VARIANCE
80,PERCENTAGE OF TIME
81,PREDOMINANT OCCUPANCY VACANT
82,ASSET TO SALES
83,CAPITAL PER EMPLOYEE
84,CASH SALES
85,COLLECTION PERIOD (DAYS)
86,COSTS PER EMPLOYEE
87,ACCOUNTS PAYABLE (CREDITORS) TO SALES
88,CURRENT LIABILITIES TO NET WORTH
89,CURRENT LIABILITIES TO INVENTORY (STOCK)
9,CUMULATIVE COST VARIANCE
90,CURRENT RATIO
91,FIXED ASSETS TO NET WORTH
92,INVENTORY (STOCK) TURNOVER
93,PROFIT PER EMPLOYEE
94,QUICK RATIO (ACID TEST)
95,RETAINAGE REQUIRED FOR PROJECT
96,RETURN ON ASSETS
97,RETURN ON SALES (PROFIT MARGIN)
98,RETURN ON CAPITAL
99,SHAREHOLDERS' RETURN (RETURN ON NET WORTH)
A,NON-RECOVERABLE DEPRECIATION
AB,CONTRACTS OBTAINED BY NEGOTIATION
AC,COST PLUS BASIS
AD,LUMP SUM PAYMENTS
AE,PURCHASES ON LETTER OF CREDIT
AF,PURCHASES ON FLOOR PLAN
AG,CHANGE IN SALES
AH,CHANGE IN PROFIT
AI,DAMAGE
AJ,INTEREST ON LIABILITIES
AK,RISK MARGIN
AL,LIABILITY RATIO
AM,INTEREST COVER
AN,ANNUAL LIMIT
AP,ALLOCATION
AQ,ORDINANCE PERCENTAGE
AR,ACCOUNTS RECEIVABLE TURNOVER
AS,ANNUAL INTEREST
AT,APARTMENTS
AU,MINIMUM PURCHASE LIABILITY
AV,ASSESSMENT RATIO
AY,ANNUAL YIELD
AZ,STUDENTS ENROLLED IN POSTSECONDARY PROGRAMS
B,RECOVERABLE DEPRECIATION
BA,ALL SHARES OF STOCK OWNED
BB,CLASS OF STOCK OWNED
BC,VOTING SHARES ISSUED
