Value,Description
ACT,ACTUAL
AGC,AVERAGE GENERIC PRODUCT PRICE
ALT,ALTERNATE PRICE
AWP,AVERAGE WHOLESALE PRICE
BBP,BALANCE-BASED PRICE
BCH,BASE CHARGE
BID,BID PRICE
C01,CONTRACT TIER 1
C02,CONTRACT TIER 2
C03,CONTRACT TIER 3
C04,CONTRACT TIER 4
C05,CONTRACT TIER 5
C06,CONTRACT TIER 6
C07,CONTRACT TIER 7
C08,CONTRACT TIER 8
C09,CONTRACT TIER 9
C10,CONTRACT TIER 10
C11,CONTRACT TIER 11
C12,CONTRACT TIER 12
C13,CONTRACT TIER 13
C14,CONTRACT TIER 14
C15,CONTRACT TIER 15
C16,CONTRACT TIER 16
C17,CONTRACT TIER 17
C18,CONTRACT TIER 18
C19,CONTRACT TIER 19
C20,CONTRACT TIER 20
C21,CONTRACT TIER 21
C22,CONTRACT TIER 22
C23,CONTRACT TIER 23
C24,CONTRACT TIER 24
C25,CONTRACT TIER 25
C26,CONTRACT TIER 26
C27,CONTRACT TIER 27
C28,CONTRACT TIER 28
C29,CONTRACT TIER 29
C30,CONTRACT TIER 30
CAN,CANCELLATION CHARGE
CAT,CATALOG PRICE
CDF,CENTRAL DISTRIBUTION FACILITY (WAREHOUSE)
CDV,CURRENT DOMESTIC VALUE
CHG,CHANGED PRICE
CON,CONTRACT PRICE
CUP,CONFIRMED UNIT PRICE
CUS,DECLARED CUSTOMS UNIT VALUE
D01,FEDERAL SUPPLY SCHEDULE (FSS) PRICE
D02,DEPOT PRICE
D03,DISTRIBUTION AND PRICING AGREEMENT (DAPA) PRICE
DAP,DEALER ADJUSTED PRICE
DIS,DISTRIBUTOR'S PRICE
DPR,DISCOUNT PRICE
DSC,DISCOUNT AMOUNT ALLOWED
DSD,DIRECT STORE DELIVERY
DSP,DIRECT SHIP PROGRAM PRICE
EDM,EMERGENCY DIRECT SHIP PRICE (ORIGINAL EQUIPMENT MANUFACTURER)
EDP,EMERGENCY DIRECT SHIP PRICE
EDS,EMERGENCY DIRECT SHIP PRICE (SUPPLIER)
EDW,EMERGENCY DIRECT SHIP PRICE (WAREHOUSE)
ELC,ESTIMATED LANDED COST
EST,ESTIMATED PRICE
EUP,EXPECTED UNIT PRICE
FCH,FLAT CHARGE
FCP,FIRST COST PRICE
FDS,FREQUENT DELIVERY SERVICE
FET,FEDERAL EXCISE TAX
FGP,FREE GOODS PRICE
FOR,FORMULA PRICE
FSP,FREE SERVICE PRICE
FUL,FEDERAL UPPER LIMIT PRICE (MAXIMUM ALLOWABLE COST PRICING FOR DRU
FUP,FIRM PRICE - DO NOT ADVISE
GAP,ADVERTISING PRICE
