Value,Description
1,PRICE PROTECTION APPLIES
10,FINANCIAL ELECTRONIC DATA INTERCHANGE (FEDI)
11,FAX A MANIFEST
12,HAND STACK - SPECIAL LOADING
13,MODULAR PALLETS
14,NO DIVERTING
15,ORDER LEAD TIME REQUIREMENT
16,ORDER QUALITY (NO-TOUCH EDI)
17,PALLET PLACARDS
18,PICK AND PACK
19,PRE-SET APPOINTMENTS
2,ALLOCATION APPLIES
20,RAPID DEPLOYMENT (SAME DAY SHIP)
21,SLIPSHEET
22,STRAP PACKAGES
23,THIRD PARTY PALLET
24,UNLOAD TIME REQUIRED
3,ADVANCE SHIP NOTICE/PALLET TAGS
4,BAR CODE CASE LABEL
5,BOTTOM LOAD ONLY
6,COLOR CODING
7,SYNCHRONIZATION OF PRICES
8,DEDICATED CARRIER
9,DROP TRAILER
