Value,Description
0,CREDIT CARD
A1,PLANT EQUIPMENT NUMBER
A2,DEPARTMENT OF DEFENSE IDENTIFICATION CODE (DODIC)
A3,LOCALLY ASSIGNED CONTROL NUMBER
A4,SUBSISTENCE IDENTIFICATION NUMBER
A5,APPLICATION STATE OR PROVINCE
A6,DOCUMENT IDENTIFICATION CODE
A7,SUBLINE ITEM NUMBER
A8,EXHIBIT LINE ITEM NUMBER
AA,"ASSEMBLY LEVEL CODE, VEHICLE MAINTENANCE REPORTING STANDARDS (VMR"
AA,PRODUCT VERSION NUMBER
AB,ASSEMBLY
AC,AGGREGATION CODE (USED TO CONSOLIDATE PART FAMILIES)
AC,HIBC (HEALTH INDUSTRY BAR CODE)
AD,AMERICAN DENTAL ASSOCIATION CODES
AD,COLD ROLL NUMBER
AE,HOT ROLL NUMBER
AE,SERIAL ITEM AND CONTRIBUTION IDENTIFIER (DEFINED IN ANSI 239.56)
AF,FRONT AXLE SERIAL NUMBER
AF,SLAB NUMBER
AG,AGE
AG,SOFTWARE REVISION NUMBER
AH,BILLBOARDS COMMERCIAL
AH,UPC (UNIVERSAL PRODUCT CODE) CONSUMER PKG CODE (1-5-5)
AI,ALTERNATE ISBN
AI,UPC (UNIVERSAL PRODUCT CODE) CONSUMER PKG CODE (1-5-5-1
AJ,PIGGYBACK COMMERCIAL
AJ,SAMPLE NUMBER
AK,PACK NUMBER
AK,REFINED PRODUCT CODE
AL,AXLE SERIAL NUMBER
AL,UPC SHIPPING CONTAINER CODE (1-2-5-5)
AM,ALLOCATION METHODOLOGY IDENTIFICATION CODE
AM,UPC (UNIVERSAL PRODUCT CODE)/EAN (EUROPEAN ARTICLE NO)
AN,ASSET NUMBER
AN,UPC (UNIVERSAL PRODUCT CODE) SUFFIX
AO,STATE LABEL CODE
AP,"COMPONENT LEVEL CODE, VEHICLE MAINTENANCE REPORTING STANDARDS (VM"
AP,HEAT NUMBER
AQ,APPRAISAL PRODUCT TYPE
AQ,COUPON NUMBER
AR,ARINC PART NUMBER
AS,REAR AXLE SERIAL NUMBER
AT,ASSORTABILITY CODE
AT,PRICE LOOK UP NUMBER
AU,APPRAISAL SERVICE
AU,NSN (NORTH ATLANTIC TREATY ORGANIZATION STOCK NUMBER)
AV,ADDITIONAL PRODUCT IDENTIFICATION ASSIGNED BY THE MANUFACTURER
AV,REFINED PRODUCT CODE
AW,EXHIBIT
AW,WELL NUMBER
AX,ASSEMBLY LOT NUMBER
AX,END ITEM
AY,FEDERAL SUPPLY CLASSIFICAITON
AY,"SYSTEM LEVEL CODE, VEHICLE MAINTENANCE REPORTING STANDARDS (VMRS)"
AZ,AXLE RATIO
AZ,ENGINEERING DATA LIST
B1,VOLUME SET
B2,LIBRARY OF CONGRESS CODE
B3,EDITION CODE
B4,BINDING CODE
B5,TITLE CODE
B6,AUTHOR CODE
B7,PUBLISHER CODE
B8,BATCH NUMBER
B9,FRONT AXLE DRIVEN SERIAL NUMBER
BA,BALE NUMBER
BB,LOT NUMBER
BB,PRINT COLOR STANDARD REFERENCE
BC,NATIONAL DRUG CODE 4-4-2 FORMAT
BC,SUPPLIER BRAND CODE
BD,BUYER GROUND SHADE IDENTIFIER
BD,NATIONAL DRUG CODE 5-3-2 FORMAT
BE,BUYER'S ENGINEERING CHANGE LEVEL NUMBER
BE,NATIONAL DRUG CODE 5-4-1 FORMAT
BF,NATIONA LDRUG CODE 5-4-2 FORMAT
BF,VENDOR GROUND SHADE IDENTIFIER
BG,GROUND SHADE STANDARD REFERENCE
BG,NATIONAL DRUG CODE
BH,FINISH/HAND STANDARD REFERENCE
BH,PART NUMBER
BI,LOCAL STOCK NUMBER (LSN)
BI,REAR AXLE REAR NON DRIVEN SERIAL NUMBER
BJ,APPLICATION COMPLETION METHOD
BJ,NEXT HIGHER ASSEMBLY NUMBER
BK,BACKING
BK,DATA CATEGORY
BL,BRAND/LABEL
BL,CONTROL NUMBER
BM,BEAM NUMBER
BM,SPECIAL MATERIAL IDENTIFICATION CODE
BN,BAR-CODED SERIAL NUMBER
BO,BUYERS COLOR
BP,BUYER'S PART NUMBER
BQ,BENEFIT ID
BR,COMPENSATION TYPE CODE
BS,BILL SUBGROUP CODE
BT,VOLUME TYPE IDENTIFICATION CODE
BU,BUS BODY SERIAL NUMBER
BV,BEVERAGE COMMON CODE
BW,COMPENSATION ALLOCATION CODE
BX,BILL CREDIT CODE
BY,CONCEPT CODE
