Element,Description,Req,Min Length,Max Length,Type
PO401,Pack,O,1,6,N0
PO402,Size,C,1,8,R8
PO403,Unit Or Basis For Measurement Code,C,2,2,ID
PO404,Packaging Code,C,3,5,AN
PO405,Weight Qualifier,O,1,2,ID
PO406,Gross Weight Per Pack,C,1,9,R9
PO407,Unit Or Basis For Measurement Code,C,2,2,ID
PO408,Gross Volume Per Pack,C,1,9,R9
PO409,Unit Or Basis For Measurement Code,C,2,2,ID
PO410,Length,C,1,8,R8
PO411,Width,C,1,8,R8
PO412,Height,C,1,8,R8
PO413,Unit Or Basis For Measurement Code,C,2,2,ID
PO414,Inner Pack,O,1,6,N0
PO415,Surface/Layer/Position Code,O,2,2,ID
PO416,Assigned Identification,C,1,20,AN
PO417,Assigned Identification,O,1,20,AN
PO418,Number,O,1,9,N0
