Value,Description
3H,KILOGRAMS PER KILOGRAM OF PRODUCT
3I,KILOGRAMS PER PIECE OF PRODUCT
4,SMALL SPRAY
4,SOME
40,APPRECIABLE
40,MILLILITER PER SECOND
41,MILLILITER PER MINUTE
41,NOT AVAILABLE
42,UNCONTROLLED TEMPERATURE
43,CHILLED
43,SUPER BULK BAG
44,500 KILOGRAM BULK BAG
44,FROZEN
45,300 KILOGRAM BULK BAG
45,TEMPERATURE CONTROLLED
46,25 KILOGRAM BULK BAG
47,50 POUND BAG
48,BULK CAR LOAD
4A,BOBBIN
4B,CAP
4C,CENTISTOKES
4D,CURIE
4E,20-PACK
4F,100-PACK
4G,MICROLITER
4I,METERS PER SECOND
4J,METERS PER SECOND PER SECOND
4K,MILLIAMPERES
4L,MEGABYTE
4M,MILLIGRAMS PER HOUR
4N,MEGABECQUEREL
4O,MICROFARAD
4P,NEWTONS PER METER
4Q,OUNCE INCH
4R,OUNCE FOOT
4S,PASCAL
4T,PICOFARAD
4U,POUNDS PER HOUR
4V,CUBIC METER PER HOUR
4W,TON PER HOUR
4X,KILOLITER PER HOUR
5,LIFTS
5,UNDETECTABLE
50,ACTUAL KILOGRAMS
51,ACTUAL TONNES
52,CREDITS
53,THEORETICAL KILOGRAMS
54,THEORETICAL TONNES
56,SITAS
57,MESH
58,NET KILOGRAMS
59,PARTS PER MILLION
5A,BARRELS PER MINUTE
5B,BATCH
5C,GALLONS PER THOUSAND
5D,PROOF GALLONS
5E,MMSCF/DAY
5F,POUNDS PER THOUSAND
5G,PUMP
5H,STAGE
5I,STANDARD CUBIC FOOT
5J,HYDRAULIC HORSE POWER
5K,COUNT PER MINUTE
5P,SEISMIC LEVEL
5Q,SEISMIC LINE
6,DIGITS
6,TRACE
60,PERCENT WEIGHT
61,PARTS PER BILLION
62,PERCENT PER 1000 HOURS
63,FAILURE RATE IN TIME
64,POUNDS PER SQUARE INCH GAUGE
65,COULOMB
66,OERSTEDS
67,SIEMENS
68,AMPERE
69,TEST SPECIFIC SCALE
7,STRAND
7,YES
70,VOLT
71,VOLT-AMPERE PER POUND
72,WATTS PER POUND
73,AMPERE TURN PER CENTIMETER
74,MILLI PASCALS
76,GAUSS
77,MIL
78,KILOGAUSS
79,ELECTRON VOLT
8,CLOSED
8,HEAT LOTS
80,POUNDS PER SQUARE INCH ABSOLUTE
81,HENRY
82,OHM
83,FARAD
84,KILO POUNDS PER SQUARE INCH (KSI)
85,FOOT POUNDS
86,JOULES
87,POUNDS PER CUBIC FOOT
89,POISE
8C,CORD
8D,DUTY
8P,PROJECT
8R,PROGRAM
8S,SESSION
8U,SQUARE KILOMETER
9,PASSED
9,TIRE
90,SAYBOLD UNIVERSAL SECOND
91,STOKES
92,CALORIES PER CUBIC CENTIMETER
93,CALORIES PER GRAM
94,CURL UNITS
95,"20,000 GALLON TANKCAR"
96,"10,000 GALLON TANKCAR"
97,10 KILOGRAM DRUM
98,15 KILOGRAM DRUM
99,WATT
A8,DOLLARS PER HOURS
AA,BALL
AB,BULK PACK
AC,ACRE
AD,BYTES
AE,AMPERES PER METER
AF,CENTIGRAM
AG,ANGSTROM
AH,ADDITIONAL MINUTES
AI,AVERAGE MINUTES PER CALL
AJ,COP
AK,FATHOM
AL,ACCESS LINES
AM,AMPOULE
AN,MINUTES OR MESSAGES
AO,AMPERE-TURN
AP,ALUMINUM POUNDS ONLY
AQ,ANTI-HEMOPHILIC FACTOR (AHF) UNITS
AR,SUPPOSITORY
AS,ASSORTMENT
AT,ATMOSPHERE
AU,OCULAR INSERT SYSTEM
AV,CAPSULE
AW,POWDER-FILLED VIALS
AX,TWENTY
AY,ASSEMBLY
AZ,BRITISH THERMAL UNITS (BTUS) PER POUND
B0,BRITISH THERMAL UNITS (BTUS) PER CUBIC FOOT
B1,BARRELS PER DAY
B2,BUNKS
B3,BATTING POUND
B4,"BARREL, IMPERIAL"
B5,BILLET
B6,BUN
B7,CYCLES
B8,BOARD
B9,BATT
BA,BALE
BB,BASE BOX
BC,BUCKET
BD,BUNDLE
BE,BEAM
BF,BOARD FEET
BG,BAG
BH,BRUSH
BI,BAR
BJ,BAND
BK,BOOK
BL,BLOCK
BM,BOLT
BN,BULK
BO,BOTTLE
BP,100 BOARD FEET
BQ,BRAKE HORSE POWER
BR,BARREL
BS,BASKET
BT,BELT
BU,BUSHEL
BV,"BUSHEL, DRY IMPERIAL"
BW,BASE WEIGHT
BX,BOX
BY,BRITISH THERMAL UNIT (BTU)
BZ,MILLION BTU'S
C0,CALLS
C1,COMPOSITE PRODUCT POUNDS (TOTAL WEIGHT)
C2,CARSET
C3,CENTILITER
C4,CARLOAD
C5,COST
C6,CELL
C7,CENTIPOISE (CPS)
C8,CUBIC DECIMETER
C9,COIL GROUP
CA,CASE
CB,CARBOY
CC,CUBIC CENTIMETER
CD,CARAT
CE,"CENTIGRADE, CELSIUS"
CF,CUBIC FEET
CG,CARD
CH,CONTAINER
CI,CUBIC INCHES
CJ,CONE
CK,CONNECTOR
CL,CYLINDER
CM,CENTIMETER
CN,CAN
CO,CUBIC METERS (NET)
CP,CRATE
CQ,CARTRIDGE
CR,CUBIC METER
CS,CASSETTE
CT,CARTON
CU,CUP
CV,COVER
CW,HUNDRED POUNDS (CWT)
CX,COIL
CY,CUBIC YARD
CZ,COMBO
D1,"DOLLARS, CANADIAN"
D2,SHARES
D3,SQUARE DECIMETER
D5,KILOGRAM PER SQUARE CENTIMETER
D8,DRAIZE SCORE
D9,DYNE PER SQUARE CENTIMETER
DA,DAYS
DB,DRY POUNDS
DC,DISK (DISC)
DD,DEGREE
DE,DEAL
DF,DRAM
DG,DECIGRAM
DH,MILES
DI,DISPENSER
DJ,DECAGRAM
DK,KILOMETERS
DL,DECILITER
DM,DECIMETER
DN,DECI NEWTON-METER
DO,"DOLLARS, U.S."
DP,DOZEN PAIR
DQ,DATA RECORDS
DR,DRUM
DS,DISPLAY
DT,DRY TON
DU,DYNE
DW,CALENDAR DAYS
DX,DYNES PER CENTIMETER
DY,DIRECTORY BOOKS
DZ,DOZEN
E1,HECTOMETER
E3,"INCHES, FRACTION--AVERAGE"
E4,"INCHES, FRACTION--MINIMUM"
E5,"INCHES, FRACTION--ACTUAL"
E7,"INCHES, DECIMAL--AVERAGE"
E8,"INCHES, DECIMAL--ACTUAL"
E9,"ENGLISH, (FEET, INCHES)"
EA,EACH
EB,ELECTRONIC MAIL BOXES
EC,EACH PER MONTH
ED,"INCHES, DECIMAL--NOMINAL"
EE,EMPLOYEES
EF,"INCHES, FRACTION-NOMINAL"
EG,DOUBLE-TIME HOURS
EH,KNOTS
EJ,LOCATIONS
EM,"INCHES, DECIMAL-MINIMUM"
EP,ELEVEN PACK
EQ,EQUIVALENT GALLONS
EV,ENVELOPE
EX,"FEET, INCHES AND FRACTION"
EY,"FEET, INCHES AND DECIMAL"
EZ,FEET AND DECIMAL
F1,THOUSAND CUBIC FEET PER DAY
F2,INTERNATIONAL UNIT
F3,EQUIVALENT
F4,MINIM
F5,MOL
F6,PRICE PER SHARE
F9,FIBERS PER CUBIC CENTIMETER OF AIR
FA,FAHRENHEIT
FB,FIELDS
FD,MILLION PARTICLES PER CUBIC FOOT
FE,TRACK FOOT
FF,HUNDRED CUBIC METERS
FG,TRANSDERMAL PATCH
FH,MICROMOLAR
FJ,SIZING FACTOR
FK,FIBERS
FL,FLAKE TON
FM,MILLION CUBIC FEET
FO,FLUID OUNCE
FP,POUNDS PER SQ. FT.
FR,FEET PER MINUTE
FS,FEET PER SECOND
FT,FOOT
FZ,FLUID OUNCE (IMPERIAL)
G2,U.S. GALLONS PER MINUTE
G3,IMPERIAL GALLONS PER MINUTE
G4,GIGABECQUEREL
G5,GILL (IMPERIAL)
G6,BIT
G7,MICROFICHE SHEET
G8,GIGACALORIES
G9,GIGABYTE
GA,GALLON
GB,GALLONS/DAY
GC,GRAMS PER 100 GRAMS
GD,GROSS BARRELS
GE,POUNDS PER GALLON
GF,GRAMS PER 100 CENTIMETERS
GG,GREAT GROSS (DOZEN GROSS)
GH,HALF GALLON
GI,IMPERIAL GALLONS
GJ,GRAMS PER MILLILITER
GK,GRAMS PER KILOGRAM
GL,GRAMS PER LITER
GM,GRAMS PER SQ. METER
GN,GROSS GALLONS
GO,MILLIGRAMS PER SQUARE METER
GP,MILLIGRAMS PER CUBIC METER
GQ,MICROGRAMS PER CUBIC METER
GR,GRAM
GS,GROSS
GT,GROSS KILOGRAM
GU,GAUSS PER OERSTEDS
GV,GIGAJOULES
GW,GALLONS PER THOUSAND CUBIC FEET
GX,GRAIN
GY,GROSS YARD
GZ,GAGE SYSTEMS
H1,HALF PAGES - ELECTRONIC
H2,HALF LITER
H3,18-PACK
H4,HECTOLITER
H5,22-PACK
H6,30-PACK
H7,38-PACK
H8,62-PACK
H9,75-PACK
HA,HANK
HB,HUNDRED BOXES
HC,HUNDRED COUNT
HD,HALF DOZEN
HE,HUNDREDTH OF A CARAT
HF,HUNDRED FEET
HG,HECTOGRAM
HH,HUNDRED CUBIC FEET
HI,HUNDRED SHEETS
HJ,HORSEPOWER
HK,HUNDRED KILOGRAMS
HL,HUNDRED FEET - LINEAR
HM,MILES PER HOUR
HN,MILLIMETERS OF MERCURY
HO,HUNDRED TROY OUNCES
HP,MILLIMETER H20
HQ,HECTARE
HR,HOURS
HS,HUNDRED SQUARE FEET
HT,HALF HOUR
HU,HUNDRED
HV,HUNDRED WEIGHT (SHORT)
HW,HUNDRED WEIGHT (LONG)
HY,HUNDRED YARDS
HZ,HERTZ
IA,INCH POUND
IB,INCHES PER SECOND (VIBRATION VELOCITY)
IC,COUNTS PER INCH
IE,PERSON
IF,INCHES OF WATER
IG,INNER PACKAGE
IH,INHALER
II,COLUMN-INCHES
IK,PEAKS PER INCH (PPI)
IL,INCHES PER MINUTE
IM,IMPRESSIONS
IN,INCH
IP,INSURANCE POLICY
IS,STOPS
IT,COUNTS PER CENTIMETER
IU,INCHES PER SECOND (LINEAR SPEED)
IV,INCHES PER SECOND PER SECOND (ACCELERATION)
IW,INCHES PER SECOND PER SECOND (VIBRATION ACCELERATION)
J1,80-PACK
J2,JOULE PER KILOGRAM
J3,81-PACK
J4,82-PACK
J5,84-PACK
J6,85-PACK
J7,96-PACK
J8,5000-PACK
J9,LEFT UNIT
JA,JOB
JB,JUMBO
JC,CAPLET
JE,JOULE PER KELVIN
JG,JOULE PER GRAM
JK,MEGA JOULE PER KILOGRAM
JL,REFILL
JM,MEGAJOULE/CUBIC METER
JN,PAN
JO,JOINT
JP,PREPACK
JR,JAR
JS,USE
JT,TIN
JU,JUG
JV,OVULE
JX,EXPOSURE
K1,KILOWATT DEMAND
K2,KILOVOLT AMPERES REACTIVE DEMAND
K3,KILOVOLT AMPERES REACTIVE HOUR
K4,KILOVOLT AMPERES
K5,KILOVOLT AMPERES REACTIVE
K6,KILOLITER
K7,KILOWATT
K9,KILOGRAMS PER MILLIMETER SQUARED (KG/MM2)
KA,CAKE
KB,KILOCHARACTERS
KC,KILOGRAMS PER CUBIC METER
KD,KILOGRAMS DECIMAL
KE,KEG
KF,KILOPACKETS
KG,KILOGRAM
KH,KILOWATT HOUR
KI,KILOGRAMS/MILLIMETER WIDTH
KJ,KILOSEGMENTS
KK,100 KILOGRAMS
KL,KILOGRAMS/METER
KM,"KILOGRAMS PER SQUARE METER, KILOGRAMS, DECIMAL"
KO,MILLEQUIVALENCE CAUSTIC POTASH PER GRAM OF PRODUCT
KP,KILOMETERS PER HOUR
KQ,KILOPASCAL
KR,KILOROENTGEN
KT,KIT
KU,TASK
KV,KELVIN
KW,KILOGRAMS PER MILLIMETER
KX,MILLILITERS PER KILOGRAM
L1,RIGHT UNIT
L2,LITERS PER MINUTE
LA,POUNDS PER CUBIC INCH
LB,POUND
LC,LINEAR CENTIMETER
LE,LITE
LF,LINEAR FOOT
LG,LONG TON
LH,LABOR HOURS
LI,LINEAR INCH
LJ,LARGE SPRAY
LK,LINK
LL,LIFETIME
LM,LINEAR METER
LN,LENGTH
LO,LOT
LP,LIQUID POUNDS
LQ,LITERS PER DAY
LR,LAYER(S)
LS,LUMP SUM
LT,LITER
LX,LINEAR YARDS PER POUND
LY,LINEAR YARD
M0,MAGNETIC TAPES
M1,MILLIGRAMS PER LITER
M2,MILLIMETER-ACTUAL
M3,MAT
M4,MONETARY VALUE
M5,MICROCURIE
M6,MILLIBAR
M7,MICRO INCH
M8,MEGA PASCALS
M9,MILLION BRITISH THERMAL UNITS PER ONE THOUSAND CUBIC FEET
MA,MACHINE/UNIT
MB,MILLIMETER-NOMINAL
MC,MICROGRAM
MD,AIR DRY METRIC TON
ME,MILLIGRAM
MF,MILLIGRAM PER SQ. FT. PER SIDE
MG,METRIC GROSS TON
MH,MICRONS (MICROMETERS)
MI,METRIC
MJ,MINUTES
MK,MILLIGRAMS PER SQUARE INCH
ML,MILLILITER
MM,MILLIMETER
MN,METRIC NET TON
MO,MONTHS
MP,METRIC TON
MQ,1000 METERS
MR,METER
MS,SQUARE MILLIMETER
MT,METRIC LONG TON
MU,MILLICURIE
MV,NUMBER OF MULTS
MW,METRIC TON KILOGRAMS
MX,MIXED
MY,MILLIMETER-AVERAGE
MZ,MILLIMETER-MINIMUM
N1,PEN CALORIES
N2,NUMBER OF LINES
N3,PRINT POINT
N4,PEN GRAMS (PROTEIN)
N6,MEGAHERTZ
N7,PARTS
N9,CARTRIDGE NEEDLE
NA,MILLIGRAMS PER KILOGRAM
NB,BARGE
NC,CAR
ND,NET BARRELS
NE,NET LITERS
NF,MESSAGES
NG,NET GALLONS
NH,MESSAGE HOURS
NI,NET IMPERIAL GALLONS
NJ,NUMBER OF SCREENS
NK,NIGHTS
NL,LOAD
NM,NAUTICAL MILE
NN,TRAIN
NQ,MHO
NR,MICRO MHO
NS,SHORT TON
NT,TRAILER
NU,NEWTON-METER
NV,VEHICLE
NW,NEWTON
NX,PARTS PER THOUSAND
NY,POUNDS PER AIR-DRY METRIC TON
OA,PANEL
OC,BILLBOARD
ON,OUNCES PER SQUARE YARD
OP,TWO PACK
OT,OVERTIME HOURS
OZ,OUNCE - AV
P0,PAGES - ELECTRONIC
P1,PERCENT
P2,POUNDS PER FOOT
P3,THREE PACK
P4,FOUR-PACK
P5,FIVE-PACK
P6,SIX PACK
P7,SEVEN PACK
P8,EIGHT-PACK
P9,NINE PACK
PA,PAIL
PB,PAIR INCHES
PC,PIECE
PD,PAD
PE,POUNDS EQUIVALENT
PF,PALLET (LIFT)
PG,POUNDS GROSS
PH,PACK (PAK)
PI,PITCH
PJ,"POUNDS, DECIMAL - POUNDS PER SQUARE FOOT - POUND GAGE"
PK,PACKAGE
PL,PALLET/UNIT LOAD
PM,POUNDS-PERCENTAGE
PN,POUNDS NET
PO,POUNDS PER INCH OF LENGTH
PP,PLATE
PQ,PAGES PER INCH
PR,PAIR
PS,POUNDS PER SQ. INCH
PT,PINT
PU,MASS POUNDS
PV,HALF PINT
PW,POUNDS PER INCH OF WIDTH
PX,"PINT, IMPERIAL"
PY,"PECK, DRY U.S."
PZ,"PECK, DRY IMPERIAL"
Q1,QUARTER (TIME)
Q2,PINT U.S. DRY
Q3,MEAL
Q4,FIFTY
Q5,TWENTY-FIVE
Q6,THIRTY-SIX
Q7,TWENTY-FOUR
QA,PAGES - FACSIMILE
QB,PAGES - HARDCOPY
QC,CHANNEL
QD,QUARTER DOZEN
QE,PHOTOGRAPHS
QH,QUARTER HOURS
QK,QUARTER KILOGRAM
QR,QUIRE
QS,"QUART, DRY U.S."
QT,QUART
QU,"QUART, IMPERIAL"
R1,PICA
R2,BECQUEREL
R3,REVOLUTIONS PER MINUTE
R4,CALORIE
R5,THOUSANDS OF DOLLARS
R6,MILLIONS OF DOLLARS
R7,BILLIONS OF DOLLARS
R8,ROENTGEN EQUIVALENT IN MAN (REM)
R9,THOUSAND CUBIC METERS
RA,RACK
RB,RADIAN
RC,ROD (AREA) - 16.25 SQUARE YARDS
RD,ROD (LENGTH) - 5.5 YARDS
RE,REEL
RG,RING
RH,RUNNING OR OPERATING HOURS
RK,ROLL-METRIC MEASURE
RL,ROLL
RM,REAM
RN,REAM-METRIC MEASURE
RO,ROUND
RP,POUNDS PER REAM
RS,RESETS
RT,REVENUE TON MILES
RU,RUN
S1,SEMESTER
S2,TRIMESTER
S3,SQUARE FEET PER SECOND
S4,SQUARE METERS PER SECOND
S5,SIXTY-FOURTHS OF AN INCH
S6,SESSIONS
S7,STORAGE UNITS
S8,STANDARD ADVERTISING UNITS (SAUS)
S9,SLIP SHEET
SA,SANDWICH
SB,SQUARE MILE
SC,SQUARE CENTIMETER
SD,SOLID POUNDS
SE,SECTION
SF,SQUARE FOOT
SG,SEGMENT
SH,SHEET
SI,SQUARE INCH
SJ,SACK
SK,SPLIT TANKTRUCK
SL,SLEEVE
SM,SQUARE METER
SN,SQUARE ROD
SO,SPOOL
SP,SHELF PACKAGE
SQ,SQUARE
SR,STRIP
SS,SHEET-METRIC MEASURE
ST,SET
SV,SKID
SW,SKEIN
SX,SHIPMENT
SY,SQUARE YARD
SZ,SYRINGE
T0,TELECOMMUNICATIONS LINES IN SERVICE
T1,THOUSAND POUNDS GROSS
T2,THOUSANDTHS OF AN INCH
T3,THOUSAND PIECES
T4,THOUSAND BAGS
T5,THOUSAND CASINGS
T6,THOUSAND GALLONS
T7,THOUSAND IMPRESSIONS
T8,THOUSAND LINEAR INCHES
T9,THOUSAND KILOWATT HOURS
TA,TENTH CUBIC FOOT
TB,TUBE
TC,TRUCKLOAD
TD,THERMS
TE,TOTE
TF,TEN SQUARE YARDS
TG,GROSS TON
TH,THOUSAND
TI,THOUSAND SQUARE INCHES
TJ,THOUSAND SQ. CENTIMETERS
TK,TANK
TL,THOUSAND FEET (LINEAR)
TM,THOUSAND FEET (BOARD)
TN,"NET TON (2,000 LB)."
TO,TROY OUNCE
TP,TEN-PACK
TQ,THOUSAND FEET
TR,TEN SQUARE FEET
TS,THOUSAND SQUARE FEET
TT,THOUSAND LINEAR METERS
TU,THOUSAND LINEAR YARDS
TV,THOUSAND KILOGRAMS
TW,THOUSAND SHEETS
TX,TROY POUND
TY,TRAY
TZ,THOUSAND CUBIC FEET
U1,TREATMENTS
U2,TABLET
U3,TEN
U5,TWO HUNDRED FIFTY
UA,TORR
UB,TELECOMMUNICATIONS LINES IN SERVICE - AVERAGE
UC,TELECOMMUNICATIONS PORTS
UD,TENTH MINUTES
UE,TENTH HOURS
UF,USAGE PER TELECOMMUNICATIONS LINE - AVERAGE
UH,TEN THOUSAND YARDS
UL,UNITLESS
UM,MILLION UNITS
UN,UNIT
UP,TROCHE
UQ,WAFER
UR,APPLICATION
US,DOSAGE FORM
UT,INHALATION
UU,LOZENGE
UV,PERCENT TOPICAL ONLY
UW,MILLIEQUIVALENT
UX,DRAM (MINIM)
UY,FIFTY SQUARE FEET
UZ,FIFTY COUNT
V1,FLAT
V2,POUCH
VA,VOLT-AMPERE PER KILOGRAM
VC,FIVE HUNDRED
VI,VIAL
VP,PERCENT VOLUME
VR,VOLT-AMPERE-REACTIVE
VS,VISIT
W2,WET KILO
WA,WATTS PER KILOGRAM
WB,WET POUND
WD,WORK DAYS
WE,WET TON
WG,WINE GALLON
WH,WHEEL
WI,WEIGHT PER SQUARE INCH
WK,WEEK
WM,WORKING MONTHS
WP,PENNYWEIGHT
WR,WRAP
WW,MILLILITERS OF WATER
X1,CHAINS (LAND SURVEY)
X2,BUNCH
X3,CLOVE
X4,DROP
X5,HEAD
X6,HEART
X7,LEAF
X8,LOAF
X9,PORTION
XP,BASE BOX PER POUND
Y1,SLICE
Y2,TABLESPOON
Y3,TEASPOON
Y4,TUB
YD,YARD
YL,100 LINEAL YARDS
YR,YEARS
YT,TEN YARDS
Z1,LIFT VAN
Z2,CHEST
Z3,CASK
Z4,HOGSHEAD
Z5,LUG
Z6,CONFERENCE POINTS
Z7,13-PACK MARKETING
Z8,NEWSPAPER AGATE LINE
Z9,14-PACK MARKETING
ZA,BIMONTHLY
ZB,BIWEEKLY
ZC,SEMIANNUAL
ZD,KILOJOULE
ZE,PING
ZF,16-PACK MARKETING
ZG,48-PACK COMPONENT PARTS
ZH,51-PACK COMPONENT PARTS
ZI,52-PACK COMPONENT PARTS
ZJ,60-PACK GIFT PACKS
ZK,72-PACK GIFT PACKS
ZL,83-PACK GIFT PACKS
ZM,10-PACK MARKETING
ZN,120-PACK PROMOTIONAL
ZO,150-PACK COMPONENT PARTS
ZP,PAGE
ZQ,200-PACK COMPONENT PARTS
ZR,1000-PACK COMPONENT PARTS
ZS,15-PACK
ZW,"BARREL, DRY"
ZX,"BARREL, LIQUID"
ZY,APOTHECARY SCRUPLE
ZZ,MUTUALLY DEFINED
