Value,Description
1,WHERE AIR = 1
10,NOT EQUAL TO
11,CORRECTED TO 60 DEGREES FAHRENHEIT
12,WHERE TOLUENE = 1
13,VAPOR IN AIR
14,VAPOR IN OTHER THAN AIR
15,STANDARD TEMPERATURE AND PRESSURE
16,CONDITIONS OTHER THAN STANDARD TEMPERATURE AND PRESSURE
17,IN ETHYL ALCOHOL
18,IN ETHYL ETHER
19,IN WATER
2,WHERE BUTYL ACETATE = 1
20,AT 1 ATMOSPHERE PRESSURE
21,WHERE ETHER = 1
22,ACTUAL
23,PREDICTED
24,AIR-DRIED BASIS
25,AS-RECEIVED BASIS
26,DRY BASIS
27,EQUILIBRIUM BASIS
28,MOISTURE AND ASH-FREE BASIS
29,OXIDIZING ATMOSPHERE
3,APPROXIMATELY
30,REDUCING ATMOSPHERE
31,CALCULATED
32,SCALED WEIGHT
34,RATCHET
35,SATURATED VAPOR
36,UNCONDITIONAL
37,SHORT-TERM
38,TIME-WEIGHTED
39,CORRECTED
4,EQUAL TO
40,UNCORRECTED
41,OFF PEAK
42,ON PEAK
43,INTERMEDIATE
44,AVERAGE
45,PER GALLON
46,ESTIMATED
47,MINIMUM
49,MIST
5,GREATER THAN OR EQUAL TO
50,PREDOMINANT
51,TOTAL
52,COST
53,TENANT
54,OWNER
55,FOR SALE
56,REAL ESTATE OWNED OR CORPORATE OWNED
57,BOARDED OR BLOCKED UP
58,PLANNED
59,COMPLETED
6,GREATER THAN
60,SOLD
61,RENTED
62,CURRENT
63,CURRENT LIST
64,EFFECTIVE
65,LIST WHEN SOLD
66,SALES
67,FINAL LIST
68,AS IS
69,AS REPAIRED OR IMPROVED
7,LESS THAN
70,INSTANTANEOUS
71,LOW
72,LOW TO GOOD
73,LOW TO HIGH
74,LOW TO MEDIUM
75,LOW TO MODERATE
76,MEDIUM
77,MEDIUM TO GOOD
78,MEDIUM TO HIGH
79,MODERATE
8,LESS THAN OR EQUAL TO
80,MODERATE TO GOOD
81,MODERATE TO HIGH
82,MODERATE TO MEDIUM
83,GOOD
84,GOOD TO HIGH
85,HIGH
86,BUDGETED
87,FORECAST
88,ADJUSTED
89,ALLOCATED
9,WHERE H2O = 1 OR WATER = 1
90,INCREASING
91,STABLE
92,DECLINING
93,PREVIOUS
94,POTENTIAL
95,MODELED
96,MEASURED
97,MAXIMUM
98,REGULATED
99,SPRING
AA,SUMMER ON-PEAK
AB,SUMMER MID-PEAK
AC,SUMMER OFF-PEAK
AD,SUMMER SUPER ON-PEAK
AE,SUMMER SUPER OFF-PEAK
AF,WINTER ON-PEAK
AG,WINTER MID-PEAK
AH,WINTER OFF-PEAK
AI,WINTER SUPER ON-PEAK
AJ,WINTER SUPER OFF-PEAK
AK,SUMMER DAY
AL,SUMMER NIGHT
AM,WINTER DAY
AN,WINTER NIGHT
AO,SUMMER
AP,WINTER
AQ,DAY
AR,NIGHT
AS,PEAK-2
AT,PEAK-3
AU,PEAK-4
AV,SHOULDER
AW,NON TIME RELATED DEMAND
AX,FALL
AY,SUMMER ON PEAK-2
AZ,WINTER ON PEAK-2
BA,PROBABLE CONTAMINATION
BB,NOT CONFIRMED
BC,TENTATIVE IDENTIFICATION
BD,FAILED
BE,SUMMER MID PEAK-2
BF,WINTER MID PEAK-2
ZZ,MUTUALLY DEFINED
