Value,Description
9L,NINTH LAYER
AA,METER READING-BEGINNING ACTUAL/ENDING ACTUAL
AAA,LINE ITEM MEASUREMENTS
AAB,RETAIL CONTAINER DIMENSION
AAC,RETAIL CONTAINER SIZE
AAD,OTHER US GOVERNMENT AGENCY APPLICATION
AAE,MEASUREMENT
AAF,CUSTOMS LINE ITEM MEASUREMENT
AAG,PERCENTAGE OF ALCOHOL (BY VOLUME)
AAH,DIMENSIONS TOTAL WEIGHT
AAI,ITEM WEIGHT
AAJ,VISA QUANTITY
AAK,LICENCE (QUANTITY DEDUCTED)
AAL,CARGO LOADED
AAM,CARGO DISCHARGED
AAN,WEIGHT OF CONVEYANCE
AAO,CONVEYANCE SUMMER DEAD WEIGHT
AAP,CONTAINERIZED CARGO ON VESSEL'S WEIGHT
AAQ,NON-CONTAINERIZED CARGO ON VESSEL'S WEIGHT
AAR,1ST SPECIFIED TARIFF QUANTITY
AAS,2ND SPECIFIED TARIFF QUANTITY
AAT,3RD SPECIFIED TARIFF QUANTITY
AAU,PACKAGE
AAV,PERSON
AAW,ACCURACY
AAX,CONSIGNMENT MEASUREMENT
AAY,PACKAGE MEASUREMENT
AAZ,HANDLING UNIT MEASUREMENT
AB,AVERAGE BALANCE
ABA,COLOUR
ABC,SIZE
ABD,LENGTH
ABE,HEIGHT
ABF,WIDTH
ABG,DIAMETER
ABH,DEPTH
ABI,VENTILATION
ABJ,ORIGINAL UNIT OF ISSUE
ABK,EXTERNAL DIMENSION
ABL,INTERNAL DIMENSION
ABM,TEST PIECE DIMENSIONS
ABN,AVERAGE READING
ABO,COMPARISON PRICE MEASUREMENT
ABP,UNIT OF MEASURE PER UNIT OF ISSUE
ABQ,AIR FLOW
AC,MAXIMUM BALANCE
AD,SERVING SPECIFICATIONS
AE,METER READING-BEGINNING ACTUAL/ENDING ESTIMATED
AF,ACTUAL TOTAL
AG,COMPLIANCE TOTAL
AH,GROSS COMPLIANCE TOTAL
AI,NET COMPLIANCE TOTAL
AJ,EFFECTIVENESS
AK,PENETRATION
AL,EXPOSURE
AM,CAPACITY
AN,WORK
AO,ACCOUNT OPENED PERIOD
AP,APARTMENTS
AQ,AMOUNT OWES
AR,ANNUAL RESULT
AS,MODIFIED EXPOSURE
ASW,WEIGHT ASCERTAINED
AT,PRO RATA FACTOR
AU,SAMPLE
AV,AVERAGE READING
AW,RELATIVE HUMIDITY
BA,BASE POINT
BB,BANK BALANCE
BC,BILLED ACTUAL
BD,BILLED DIMENSIONS
BL,BUNDLE LIMITATION
BM,BASE METAL
BN,BILLED MINIMUM
BO,METER READING AS BILLED
BP,BEARING PIECE LIMITATION
BR,BILLED HISTORY
BT,BATCH LIMITS
BZ,BATTEN SIZE
C1,CONFORMANCE PROPERTY STATUS
CA,COATING
CB,CONDOMINIUM
CC,COOPERATIVE
CF,CONVERSION FACTOR
CG,AVERAGE OWING
CH,CHEMISTRY
CHW,CHARGEABLE WEIGHT
CJ,CURRENT BALANCE
CK,DISCOUNTED CHECKS
CL,DRAFTS
CM,COMMERCIAL
CN,CORE NOTCH DIMENSIONS
CO,CONCENTRATION
CP,LETTER OF CREDIT SIZE
CQ,PAYMENT ORDERS
CS,CORE SIZE
CT,COUNTS
CU,PLEDGE SIZE
CV,CUMULATIVE TEST PERIOD
CW,PROMISSORY NOTES IN FORCE
CY,SECURED AMOUNT
DE,DEFECTS
DEN,DENSITY
DN,DUNNAGE DIMENSION
DR,DECISION RESULT VALUE
DT,DIMENSIONAL TOLERANCE
DV,DISCRETE MEASUREMENT VALUE
DX,DIMENSION USED IN PRICE EXTENSION
EA,METER READING-BEGINNING ESTIMATED/ENDING ACTUAL
EE,METER READING-BEGINNING ESTIMATED/ENDING ESTIMATED
EF,EVALUATION FACTORS
EGW,ESTIMATED GROSS WEIGHT
EL,ELECTRICAL CHARACTERISTICS
EN,ENVIRONMENTAL CONDITIONS
EVO,ESTIMATED VOLUME
FC,FIRST OF CAMPAIGN RESULT
FD,FINISHED DIMENSIONS
FH,RADIO OPERATIONS
FJ,ANTENNA CHARACTERISTICS
FO,FOOTAGE
FV,FIRING VALUES
FZ,FILE SIZE
GC,CONTRACTOR DELIVERY LIMITATIONS
GL,GUIDELINES
GO,GOVERNMENT ORDERING LIMITATIONS
GP,ORDERING PERIOD LIMITATIONS
HC,HIGH CREDIT AVERAGE
HR,HISTORICAL RESULT
ID,INDUSTRIAL
IN,INCRUSTATION
IR,INTERPOLATED RESULT
IV,INTERPOLATED VALUE
LAO,VESSEL OVERALL LENGTH
LC,LIMITED WEIGHT/SIZE COILS
LD,LOAD PLANNING DIMENSIONS
LG,LOANS GRANTED
LGL,LENGTH LIMITATIONS
LL,LIFT LIMITATION
LM,LAYER OF MULTIPLE LAYERED PRODUCT
LMT,LOADING METERS
LP,LAST SOLD PERIOD
LS,LOT STATUS
LT,LOT LIMITS
MA,ACCURACY
MB,ACTIVITY PERIOD RESULT
MC,AVERAGE DAILY LIMIT
MD,DESIGN CAPACITY
ME,MAP SCALE
MF,MAXIMUM DAILY LIMIT
MP,MATURITY PERIOD
MR,BASE MATERIAL RESULT
NAX,NUMBER OF AXLES
NC,NET CHANGE
NE,NEIGHBORHOOD
NS,NORTH AMERICAN INDUSTRIAL CLASSIFICATION SYSTEM (NAICS) SIZE STAN
NX,NET EXPLOSIVE WEIGHT
OD,ORDERED DIMENSIONS
OG,ORIGINAL
OL,ORDER LIMITS
OP,OTHER PROPERTY
P1,PLATFORM LIMITATION
PA,PALLET DIMENSIONS
PAL,PAYLOAD
PB,RECEIVERSHIP PERIOD
PC,PARTING CUT (SAWCUT)
PD,PHYSICAL DIMENSIONS
PD,PHYSICAL DIMENSIONS (PRODUCT ORDERED)
PI,PROJECT INCOMPLETE
PJ,PROJECT COMPLETE
PK,PACKAGE DIMENSIONS
PL,PACKAGE LIMITATIONS
PLL,PLATFORM LIMITATION
PM,PERMITTED
PO,POSITION
PR,PRODUCT DIMENSION RANGE PRICE BRACKET
PS,PRODUCT CHARACTERISTIC SPECIFICATION
PT,PRETEST PERIOD
PU,PLANNED URBAN DEVELOPMENT
PY,PROPERTY
QR,QUARTERLY RESULT
QV,QUANTITY VARIATION
R1,OPENING READING
R2,CLOSING READING
RA,REJECT AMOUNT
RG,REGULATORY LIMIT
RL,RECEIVING FACILITY LIMITATIONS
RN,LENGTH LIMITATIONS
RN,LENGTHS LIMITATION
RO,ROLL LIMITS
RP,RELATIVE POSITION
RQ,REQUESTED
RS,RESPONSE TIME
RT,REPLACEMENT
SA,SPACING/MARGIN
SB,SINGLE FAMILY
SC,STANDARD INDUSTRIAL CLASSIFICATION (SIC) CODE SIZE STANDARDS
SD,SHIPPED DIMENSIONS
SE,PROPERTY SPECIFICATION
SE,PROPERTY SPECIFICATIONS
SF,SHELF LIFE
SH,SHIPPING TOLERANCE
SJ,SUBJECT PHASE
SK,SKID DIMENSIONS
SL,SKID LIMITATIONS
SM,SHADE
SO,STORAGE LIMITATION
SP,SPLICES
SPG,SPECIFIC GRAVITY
SR,SURFACE ROUGHNESS
ST,SURFACE TREATMENT
SU,SURFACE
SV,SPECIFICATION VALUE
SZ,SUBJECT PROPERTY
TA,TWO TO FOUR FAMILY
TD,SPLICE TAPE DIMENSIONS
TE,TEMPERATURE
TI,TIME
TL,TRANSPORTATION EQUIPMENT LIMITATIONS
TO,TOTAL DIMENSIONS
TP,TEST PERIOD
TR,TEST RESULT
TR,TEST RESULTS
TS,SINGLE TEST LIMITS
TT,THIS TYPE PROPERTY
TX,TIME USED IN PRICE EXTENSION
VO,OBSERVED VALUE
VOL,VOLUME
VT,TRUE VALUE
VT,VACANT
WA,WASTE AMOUNT
WR,WARRANTY
WT,WEIGHTS
WX,WEIGHT USED IN PRICE EXTENSION
ZA,MULTI - FAMILY
ZP,LOG ZERO POINT OF REFERENCE
