Value,Description
1,CLEAR
10,PRESENT
11,GEL
12,OK
13,SLIGHT
14,NO GOOD
15,MARGINAL
16,NIL
17,OIL FREE
18,OPEN
19,FREE
2,HAZY
20,NO
21,CHECKED
22,FAIL
23,ABSENT
24,GOOD
25,FAIR
26,POOR
27,EXCELLENT
28,BRIGHT
29,TO BE DETERMINED
3,EXCESS
30,HIGH
31,NEGATIVE
32,PARTIAL
33,VARIABLE
4,SOME
40,BALANCE
41,COMPLETE
42,LOW
44,NOT APPLICABLE
45,NOT DETERMINED
46,NEGLIGIBLE
48,MODERATE
49,APPRECIABLE
5,UNDETECTABLE
50,NOT AVAILABLE
51,CONFORMING
52,NON-CONFORMING
53,PROBABLE CONTAMINATION
54,TENTATIVE IDENTIFICATION
56,DETECTED; NOT QUANTIFIED
6,TRACE
7,YES
8,CLOSED
9,PASS
BA,BACKER
FL,FULL
NA,NOT ANALYZED
ND,NOT DETECTED
NS,NOT SAMPLED
PR,PRESENT AND NOT COUNTED
Q1,FIRST QUALITY
Q2,SECOND QUALITY
TA,TOO NUMEROUS TO COUNT
TB,NEW
WS,WASHCOAT
ZZ,MUTUALLY DEFINED
