Value,Description
11,RULE 11 SHIPMENT
BP,PAID BY BUYER
CA,ADVANCE COLLECT
CC,COLLECT
CD,COLLECT ON DELIVERY
CF,"COLLECT, FREIGHT CREDITED BACK TO CUSTOMER"
CN,COST AND FREIGHT
DD,DELIVERED DUTY PAID
DE,PER CONTRACT
DF,DEFINED BY BUYER AND SELLER
FO,FOB PORT OF CALL
HP,HALF PREPAID
MX,MIXED
NC,"SERVICE FREIGHT, NO CHARGE"
NR,NON REVENUE
PA,ADVANCE PREPAID
PB,CUSTOMER PICKUP/BACKHAUL
PC,PREPAID BUT CHARGED TO CUSTOMER
PD,PREPAID BY PROCESSOR
PE,PREPAID AND SUMMARY BILL
PL,"PREPAID LOCAL, COLLECT OUTSTATE"
PO,PREPAID ONLY
PP,PREPAID (BY SELLER)
PS,PAID BY SELLER
PU,PICKUP
RC,RETURN CONTAINER FREIGHT PAID BY CUSTOMER
RF,RETURN CONTAINER FREIGHT FREE
RS,RETURN CONTAINER FREIGHT PAID BY SUPPLIER
SD,"FREE DOMICILE (SHIPPER PAYS DUTY, TAX AND FREIGHT)"
TP,THIRD PARTY PAY
WC,WEIGHT CONDITION
