Value,Description
0,ALTERNATE INSURER
0A,COMPARABLE RENTALS
0B,INTERIM FUNDING ORGANIZATION
0D,NON-OCCUPANT CO-BORROWER
0E,LIST OWNER
0F,LIST MAILER
0G,PRIMARY ELECTRONIC BUSINESS CONTACT
0H,STATE DIVISION
0I,ALTERNATE ELECTRONIC BUSINESS CONTACT
0J,PRIMARY PRACTICE LOCATION
0P,PARTY TO DECLARE GOODS
1,PUMPER
10,CONDUIT
11,PARTY TO BE BILLED(AAR ACCOUNTING RULE 11)
12,REGIONAL OFFICE
13,CONTRACTED SERVICE PROVIDER
14,WHOLLY-OWNED SUBSIDIARY
15,ACCOUNTS PAYABLE OFFICE
16,PLANT
17,CONSULTANT'S OFFICE
18,PRODUCTION
19,NON-PRODUCTION SUPPLIER
1A,SUBGROUP
1B,APPLICANT
1C,GROUP PURCHASING ORGANIZATION (GPO)
1D,CO-OPERATIVE
1E,HEALTH MAINTENANCE ORGANIZATION (HMO)
1F,ALLIANCE
1G,ONCOLOGY CENTER
1H,KIDNEY DIALYSIS UNIT
1I,PREFERRED PROVIDER ORGANIZATION (PPO)
1J,CONNECTION
1K,FRANCHISOR
1L,FRANCHISEE
1M,PREVIOUS GROUP
1N,SHAREHOLDER
1O,ACUTE CARE HOSPITAL
1P,PROVIDER
1Q,MILITARY FACILITY
1R,"UNIVERSITY, COLLEGE OR SCHOOL"
1S,OUTPATIENT SURGICENTER
1T,"PHYSICIAN, CLINIC OR GROUP PRACTICE"
1U,LONG TERM CARE FACILITY
1V,EXTENDED CARE FACILITY
1W,PSYCHIATRIC HEALTH FACILITY
1X,LABORATORY
1Y,RETAIL PHARMACY
1Z,HOME HEALTH CARE
2,SURFACE MANAGEMENT ENTITY
20,FOREIGN SUPPLIER
21,SMALL BUSINESS
22,"MINORITY-OWNED BUSINESS, SMALL"
23,"MINORITY-OWNED BUSINESS, LARGE"
24,"WOMAN-OWNED BUSINESS, SMALL"
25,"WOMAN-OWNED BUSINESS, LARGE"
26,SOCIALLY DISADVANTAGED BUSINESS
27,SMALL DISADVANTAGED BUSINESS
28,SUBCONTRACTOR
29,PROTOTYPE SUPPLIER
2A,"FEDERAL, STATE, COUNTY OR CITY FACILITY"
2B,THIRD-PARTY ADMINISTRATOR
2C,CO-PARTICIPANT
2D,MISCELLANEOUS HEALTH CARE FACILITY
2E,NON-HEALTH CARE MISCELLANEOUS FACILITY
2F,STATE
2G,ASSIGNER
2H,HOSPITAL DISTRICT OR AUTHORITY
2I,CHURCH OPERATED FACILITY
2J,INDIVIDUAL
2K,PARTNERSHIP
2L,CORPORATION
2M,AIR FORCE FACILITY
2N,ARMY FACILITY
2O,NAVY FACILITY
2P,PUBLIC HEALTH SERVICE FACILITY
2Q,VETERANS ADMINISTRATION FACILITY
2R,FEDERAL FACILITY
2S,PUBLIC HEALTH SERVICE INDIAN SERVICE FACILITY
2T,DEPARTMENT OF JUSTICE FACILITY
2U,OTHER NOT-FOR-PROFIT FACILITY
2V,INDIVIDUAL FOR-PROFIT FACILITY
2W,PARTNERSHIP FOR-PROFIT FACILITY
2X,CORPORATION FOR-PROFIT FACILITY
2Y,GENERAL MEDICAL AND SURGICAL FACILITY
2Z,"HOSPITAL UNIT OF AN INSTITUTION (PRISON HOSPITAL, COLLEGE INFIRMA"
3,APPLICATION PARTY
30,SERVICE SUPPLIER
31,POSTAL MAILING ADDRESS
32,PARTY TO RECEIVE MATERIAL RELEASE
33,INQUIRY ADDRESS
34,MATERIAL CHANGE NOTICE ADDRESS
35,ELECTRONIC DATA INTERCHANGE (EDI) COORDINATOR POINT ADDRESS
36,EMPLOYER
37,PREVIOUS DEBT HOLDER
38,MORTGAGE LIABILITY ACCOUNT HOLDER
39,APPRAISAL COMPANY
3A,HOSPITAL UNIT WITHIN AN INSTITUTION FOR THE MENTALLY RETARDED
3B,PSYCHIATRIC FACILITY
3C,TUBERCULOSIS AND OTHER RESPIRATORY DISEASES FACILITY
3D,OBSTETRICS AND GYNECOLOGY FACILITY
