Value,Description
0,EMPLOYEE MOBILITY
1,PRE-EXISTING CONDITIONS
10,ENTERAL OR PARENTERAL THERAPY CERTIFICATION
11,OXYGEN THERAPY CERTIFICATION
12,ADMITTING DIAGNOSIS
13,PRINCIPAL DIAGNOSIS
14,PRE-EXISTING PHYSICAL CONDITION
15,PRE-EXISTING MENTAL CONDITION
16,ROUTINE FOOT CARE CLASS FINDING
17,SYSTEMIC CONDITION FOR ROUTINE FOOT CARE
18,CO-OP ADVERTISING
19,COMMERCIAL ADVERTISING
2,DIAGNOSIS
20,SPECIMEN KIT TYPE CODE
21,LABORATORY TEST CONDITION CODE
22,AUTOMOBILE LOSS
23,LABORATORY RESULTS IDENTIFICATION CODE
24,LINE OF BUSINESS CODE
25,UNITED STATES DEPARTMENT OF VITAL STATISTICS E-CODE
26,EMPLOYMENT STATUS INFORMATION
27,INCOME
28,LOAN INFORMATION
29,INJURY OR ILLNESS
3,CONDITION
30,BENEFIT ADJUSTMENT
31,CLAIMANT
32,CONTRACTHOLDER BRANCH
33,CONTRACTHOLDER
34,SECONDARY CLAIM ADMINISTRATOR
35,PRIMARY CLAIM ADMINISTRATOR
36,REPORTING AGENCY
37,PROCESS
38,HAZARDOUS MATERIAL
39,ACTIVITY
4,OCCURRENCE
40,ACCIDENT
41,INITIAL TREATMENT
42,CAUSE OF INJURY
43,PART OF BODY
44,NATURE OF INJURY
45,SOURCE OF INJURY
46,JOB
47,LOSS PREVENTION
48,MANAGED CARE
49,RISK MANAGEMENT
5,OCCURRENCE SPAN
50,CLAIM HANDLING
51,EVENT OR EXPOSURE
52,EQUIPMENT OR MATERIALS OR CHEMICALS
53,COVERAGE
54,OVERBITE
55,OVERJET
56,PROFILE
57,CROSSBITE
58,ARCH ASYMMETRY
59,DENTITION MIDLINE
6,VALUE
60,CROWDING
61,MOLARS
62,CUSPIDS
63,INTERVIEWEE
64,VERIFICATION OF DEPOSIT
65,VERIFICATION OF MORTGAGE
66,VERIFICATION OF INCOME OR EMPLOYMENT OR BOTH
67,VERIFICATION OF RENT
68,VERIFICATION OF LOAN OR INSTALLMENT DEBT OR BOTH
69,ANTI-FUNGAL THERAPY
7,AMBULANCE CERTIFICATION
70,HOSPICE
71,PRIMARY DIAGNOSIS
72,SECONDARY DIAGNOSIS
73,TERTIARY DIAGNOSIS
74,PROCEDURE CODE
75,FUNCTIONAL LIMITATIONS
76,ACTIVITIES PERMITTED
77,MENTAL STATUS
78,MANNER PROPERTY TITLE HELD
79,PROPERTY IMPROVEMENTS
8,CHIROPRACTIC CERTIFICATION
80,COMPLETE APPRAISAL
81,LIMITED APPRAISAL
82,RESTRICTED APPRAISAL REPORT LIMITING CONDITIONS
83,ROUTE OF ADMINISTRATION
84,BORROWER INFORMATION
85,CONTRACT INFORMATION
86,FANNIE MAE (FEDERAL NATIONAL MORTGAGE ASSOCIATION)
87,FREDDIE MAC (FEDERAL HOME LOAN MORTGAGE CORPORATION)
88,DEDUCTIBLE
89,ADVERTISING COPY
9,DURABLE MEDICAL EQUIPMENT CERTIFICATION
90,PRIVATE REMARKS
91,COMPENSATION NOTES
92,OPEN HOUSE NOTES
93,TOUR NOTES
94,TERMS OF SALE
95,RESTRICTIONS
96,DISCLOSURES
97,EXCEPTIONS
98,INCLUSIONS
99,LEASE TYPE
A0,CONTRACTING DISTRICT TYPE
A1,MORTGAGE RECORD CHANGE
A2,MORTGAGE INSURANCE TERMINATION
A3,MORTGAGE INSURANCE CANCELLATION
A4,MORTGAGE SERVICING TRANSFER
A5,APPRAISAL
A6,STATE LICENSE DISCIPLINARY ACTION
A7,SOURCE OF DATA
A8,ENDORSEMENT
A9,NOTIFICATION
AA,ALL
AB,AGENT'S QUESTIONS
AC,AGENT'S SHARE
AD,BENEFITS
AE,CONTACT OR REFERENCE INFORMATION
AF,COST BASIS
AG,DRIVING INFRACTIONS
AH,EXCESS DIVIDEND USE
AI,HOME HEALTH AIDE
AJ,EXISTING COVERAGE INFORMATION
AK,HOSPITALIZATION
AL,ACTIVITY LIMITATIONS
AM,JUVENILE INFORMATION
AN,OCCUPATION INFORMATION
AO,PERSONAL FINANCE AND BUSINESS INFORMATION
AP,APPEARANCE
AQ,RATING INFORMATION
AR,ARREST
AS,REPLACED AMOUNT
AT,AUTHORITY
AU,AUTOMATED UNDERWRITING INFORMATION
AV,AVIATION
AW,SURGERY
AX,TRAVEL INFORMATION
AY,AGE REMARK
AZ,PROPERTY REMARK
B1,AUDIT DATA
B2,DECLARATION SHEET INDICATOR
B3,SERVICING DATA
B4,SINGLE FAMILY
B5,MULTIFAMILY
B6,PAYMENT HANDLING
B7,GINNIE MAE 1
B8,GINNIE MAE 2
B9,GINNIE MAE 2 CUSTOM
BA,BANKRUPTCY
BB,BUSINESS BENEFICIARY
BC,BUILDING CONDITION
BD,BUYDOWN
BE,BENEFICIARY
BF,TAX AGENCY PARCEL IDENTIFIER
BG,HISTORICAL PERFORMANCE
BH,PRODUCT RULES
BI,COMMERCIAL PROPERTY
BJ,UNIMPROVED LAND
BK,BANKING
BL,NEW CONTRACT
BM,ORIGINAL CONTRACT
BN,ACCESS
BO,BOND
BP,BANKRUPTCY PETITION
BQ,AGENT SALES TREND
BR,BROKER'S PRICE OPINION
BS,BANKRUPTCY STATEMENT OF FINANCIAL AFFAIRS
BT,BILLINGS TREND
BU,ASSETS
BV,CASH FLOW
BW,COMPETITION
BX,CREDIT LINE
BY,CREDITORS ARRANGEMENT
BZ,CREDITORS MEETING
C1,DEPRECIATION CONDITIONS
C2,ADVERSE ENVIRONMENT CONDITIONS
C3,MISCELLANEOUS ADVERSE CONDITIONS
C4,SITE CONDITIONS
C5,SUBJECT PROPERTY CONDITIONS
C6,BOARD OF DIRECTORS
C7,RESERVE
C8,PAYMENT
C9,COMORBIDITY
CA,CITIZENSHIP
CB,CONTINUING EDUCATION
CC,COMPENSATION CALCULATION
CD,CAUSE OF DEATH
CE,CONDOMINIUM
CF,COOPERATIVE
CG,CONVICTION
CH,DIRECT SALES TREND
CI,EXPORT TREND
CJ,FINANCIAL EMBARRASSMENT
CK,INDEBTEDNESS
CL,CANCELLATION
CM,CLAIM AMOUNTS
CN,COMPARISON
CO,COUNTY
CP,COMPLICATIONS
CQ,INITIAL CAPITAL
CR,CURRENT RATIO
CS,COMMON STOCK
CT,COMMISSION TREND
CU,STOCKHOLDERS
CV,DAMAGE
CW,WORKING CAPITAL
CX,COMPENSATION ALLOCATION
CY,DIVIDEND USE
CZ,EXCESS PREMIUM USE
D1,UNPAID INVOICES
D2,WITHDRAWALS
D3,IMPORTS
D4,PLACED FOR COLLECTION
DA,DRUG ADJUDICATION INFORMATION
DB,LIQUIDATION PROCEEDINGS
DC,LOCATION
DD,DISCHARGE DIAGNOSIS
DE,DEPARTMENTAL
DF,PROFIT MARGIN
DG,PROPOSAL
DH,RECEIVERSHIP
DI,DRIVER IDENTIFICATION INFORMATION
DJ,PROVIDER CHARACTERISTICS AND RESOURCES
DK,SECONDARY SOURCE OF INJURY
DL,PETITIIONS
DM,REGISTERED CHARGES
DN,CRIMINAL PROCEEDINGS
DO,HISTORICAL CRIMINAL PROCEEDINGS
DP,DIRECTIONS TO PROPERTY
DR,DRIVING
DV,DRIVER RECORD INFORMATION
E1,SPECTACLE LENSES
E2,CONTACT LENSES
E3,SPECTACLE FRAMES
E4,EMPLOYMENT
E5,EXAMINER'S COMMENTS
EB,INTERCOMPANY RELATIONS
EC,JUDGMENTS
ED,LIENS
EE,OPERATING SURPLUS TREND
EF,PARTICIPATING INTEREST
EG,PROTESTED BILLS
EH,SUBCONTRACTING DETAILS
EI,SUITS
EJ,UNIFORM COMMERCIAL CODE (UCC) FILINGS
EK,DETRIMENTAL LEGAL FILINGS
EL,CUSTOMER DETAILS
EM,SUPPLIER DETAIL
ER,EMPLOYEE RELOCATION
ET,EDUCATION OR TRAINING
FA,FINANCIAL
FC,FAMILY COVERAGE
FH,FAMILY HISTORY
FI,FINANCING
FL,FLOOD DETERMINATION
FP,FRANCHISE TAX PAYMENTS
FR,FINANCIAL REMARKS
FT,FOREIGN TRAVEL
GD,DEMONSTRATIONS
GS,SHELF FORMAT
GU,GUARANTEES
HA,FIXED
HB,ADJUSTABLE
HC,RATE ADJUSTMENT
HD,PAYMENT ADJUSTMENT
HE,LIFE OF LOAN
HF,PERIODIC INTEREST RATE
HG,PRINCIPAL AND INTEREST
HH,HEALTH OR MEDICAL
HI,LATE CHARGE
HJ,DEFAULT NOTE HOLDER'S COST
HK,PREPAYMENT
HL,LIMITED PAYMENT
HM,RATE LOOKBACK
HN,PAYMENT LOOKBACK
HO,INDEX
HP,MORTGAGE MARGIN
HQ,SINGLE FAMILY 2-4 UNITS
HR,AMORTIZATION
HS,RATE CONVERSION
HT,INTEREST ONLY
HU,PREMIUM AUDIT KEY QUESTION
HY,HISTORY
HZ,HAZARDOUS SPORTS
IC,ISSUED CAPITAL
ID,IDENTIFICATION
IH,INSURANCE HISTORY OR OTHER COVERAGE
IM,IMPAIRMENT
IN,INSURANCE
LA,LICENSE REVOCATION
LC,LOCATION STATUS
LE,LEVEL REMARKS
LI,LIABILITY STATUS
LL,LOCAL LANGUAGE DESCRIPTION
LR,LISTING REMARKS
LS,LIFE STYLE
LT,LEGAL TYPE
LZ,LOSS TREND
MA,MARITAL STATUS
MI,MISCELLANEOUS
ML,MULTIPLE LISTING SERVICE
MN,MANAGEMENT
MO,MODIFICATION
MP,MEDICATION OR PRESCRIPTION
MS,MEDICAL SOCIAL WORKER
MT,MILITARY STATUS
NC,NOMINAL CAPITAL
NL,NEW LICENSED STAFF
NS,NATURE OF SUIT
NW,NOT WORK RELATED
OA,OWNER PAYS NOTES
OC,OCCUPATION CLASS
OF,OUTSIDE FINANCING
OI,OTHER INVESTOR
ON,OPERATIONS TREND
OP,OPERATIONS
OT,OCCUPATIONAL THERAPY
OU,OPERATIONS OUTLOOK
PA,PERFORMANCE
PB,PROFITABILITY
PC,PAID IN CAPITAL
PD,PUBLIC RECORDS
PE,PENALTY
PF,PROFIT TREND
PG,POSSESSION NOTES
PI,PHOTO INSTRUCTIONS
PJ,PATIENT SUBJECTIVE COMPLAINTS
PN,PARKING NOTES
PO,PROFIT OUTLOOK
PR,PROPERTY
PS,PREFERRED STOCK
PT,PHYSICAL THERAPY
PX,PHYSICIAN EXAMINATION RESULTS
R1,REASON FOR WEIGHT LOSS
R2,ASSOCIATION OF AMERICAN RAILROADS SPECIAL PROPER SHIPPING NAME FL
R3,ASSOCIATION OF AMERICAN RAILROADS INTERMODAL INDICATOR
R4,ASSOCIATION OF AMERICAN RAILROADS U.S. TO CANADA FLAG
R5,RESIDENTIAL STATUS
RC,REVOCATION
RE,RECOVERY
RI,REAL ESTATE PROPERTY INFORMATION
RL,RADIO LICENSE APPLICATION
RM,REMEDY
RN,RELATED ENTITIES
