Value,Description
1,SUMMARY ELECTRONIC INVOICE
2,FULL ELECTRONIC INVOICE
3,PRINTED INVOICE SENT BY MAIL
4,SUMMARY ELECTRONIC INVOICE AND PRINTED INVOICE SENT BY MAIL
5,FULL ELECTRONIC INVOICE AND PRINTED INVOICE SENT BY MAIL
6,NO PAPER INVOICE
7,SUMMARY ELECTRONIC INVOICE AND NO PAPER INVOICE
8,FULL ELECTRONIC INVOICE AND NO PAPER INVOICE
9,ELECTRONIC MAIL
AA,AVAILABLE ON REQUEST AT PROVIDER SITE
AB,PREVIOUSLY SUBMITTED TO PAYER
AC,AMERICAN COLLEGE OF RADIOLOGY/NATIONAL ELECTRONIC MANUFACTURERS A
AD,CERTIFICATION INCLUDED IN THIS CLAIM
AE,ELECTRONICALLY AFTER SHIPPING
AF,NARRATIVE SEGMENT INCLUDED IN THIS CLAIM
AG,NO DOCUMENTATION IS REQUIRED
AM,BY MAIL AFTER SHIPPING
AS,AMERICAN SOCIETY FOR TESTING AND MATERIALS FORMAT (ASTM E1238)
AT,AMERICAN SOCIETY FOR TESTING AND MATERIALS FORMAT (ASTM E1384)
AU,BY DATA PATTERN
BE,BY MAIL AND ELECTRONICALLY
BM,BY MAIL
BW,BEST WAY (SENDER'S OPTION)
CD,COURIER DISKETTE
CF,COURIER
CP,COURIER PAPER
CT,COURIER TAPE
DA,DATA
EL,ELECTRONICALLY ONLY
EM,E-MAIL
FT,FILE TRANSFER
FX,BY FAX
GS,ON GENERAL SERVICES ADMINISTRATION (GSA) FORM 10050
HL,HEALTH INDUSTRY LEVEL 7 INTERFACE STANDARDS (HL/7) FORMAT
IA,ELECTRONIC IMAGE
IE,ELECTRONICALLY WITH INVOICE
IM,BY MAIL WITH INVOICE
MB,BINARY IMAGE
MD,MAIL DISKETTE
MN,MAGNETIC MEDIA
MP,MAIL PAPER
MT,MAIL TAPE
NS,NOT SPECIFIED
OL,ON-LINE
PO,PRINTED ORIGINAL REQUIRED
SE,ELECTRONICALLY BEFORE SHIPPING
SM,BY MAIL BEFORE SHIPPING
SN,WITH SHIP NOTICE
SW,SOCIETY FOR WORLDWIDE INTERBANK FINANCIAL TELECOMMUNICATION (SWIF
TA,TELEX
TE,"SEPARATELY, ELECTRONICALLY AT TIME OF SHIPPING"
TM,"SEPARATELY, BY MAIL AT TIME OF SHIPPING"
TX,TEXT
VO,VOICE
WS,WITH SHIPMENT (WITH PACKAGE)
