Value,Description
0,DELIVERY OF FUEL INTO UNDERGROUND STORAGE TANK
1,DELIVERY OF FUEL INTO ABOVE GROUND STORAGE TANK
15,SPEED RESTRICTED TO 15 MILES PER HOUR
170,CERTIFICATE OF ORIGIN
25,SPEED RESTRICTED TO 25 MILES PER HOUR
35,SPEED RESTRICTED TO 35 MILES PER HOUR
405,FUEL SURCHARGE AUTHORIZED
45,ADVANCED FEE
510,OFFSHORE - ALASKA/HAWAII SERVICE
520,OVERSIZED PREMIUM
550,PREPARATION OF AIR WAYBILL - ORIGIN
555,PREPARATION OF CANADIAN CUSTOMS INVOICE
565,PREPARATION OF EXPORT ENTRY
570,PREPARATION OF INSURANCE CERTIFICATE
585,PREPARATION OF U.S. EXPORT DOCUMENTATION
665,SATURDAY DELIVERY
670,SATURDAY PICKUP
675,SECURITY SIGNATURE SERVICE
761,WRITTEN PROOF OF DELIVERY
A1M,AGGREGATE 1000
A3M,AGGREGATE 3000
A5M,AGGREGATE 5000
AA,NO FACIAL HAIR
AAS,ATTENDANTS ACCOMPANYING
AB,CAR IS AIR BRAKE CONTROLLED
AC,CUSTOMER REQUIRED PACKING LIST
AD,CUSTOMER REQUIRED PRO NUMBER
ADL,ADVANCE LOADING
AE,CUSTOMER REQUIRED APPOINTMENT NUMBER
AF,LOAD ON TOP OF RESIDUE (HEEL)
AFN,AIR CRAFT FURNISHED AND NOT USED
AG,DISPOSE OF RESIDUE (HEEL)
AGG,AGGREGATE TENDER DISCOUNT
AGS,ARMED GUARD SERVICE
AH,HUMIDITY SENSITIVE SHIPMENT
AIB,ADDITIONAL INJECTION/BLENDING SERVICE
AJ,DO NOT STACK
AK,ATTACHMENT - AUTO KEYS
ALP,PORT CHANGES
ALT,USE OF ALTERNATE TERMINAL
AMM,A.M. DELIVERY REQUIREMENT
ANC,ANCHORING AND UNANCHORING
APD,ADDITIONAL COPY OF SHIPPING PAPERS FOR PROOF OF DELIVERY
APL,APPLIANCE SERVICING
ARC,AIR CONDITIONING DISCONNECT AND CONNECT
ARG,RAIL ARMED GUARD SERVICE
ARR,AIR RIDE TRACTOR SERVICE
ART,AIR RIDE TRUCK SERVICE
ASY,ASSEMBLY SERVICE REQUESTED
AT,ATTACHMENT TO MOVE WITH CAR
AUX,AUXILIARY SERVICE
AV,ANNUAL VOLUME
AW,ATTACHMENTS - ADVANCE ONLY WAYBILL
BA,CLEARINGHOUSE BALANCE
BCP,BYPASS CONSOLIDATION POINT
BKA,BULKY ARTICLE
BL,BLOWABLE LOAD
BLK,BLOCKING AND BRACING
BLS,BLIND SHIPMENT
BN,IF BAD ORDERED NOTIFY SHIPPER
BNS,"BOLSTER LOAD, DO NOT SWITCH"
BOX,BOXING SERVICE - DRY BULK
BSC,BUNKER SURCHARGE AUTHORIZED
BU2,BUNKER ADJUSTMENT - 20 FOOT CONTAINER
BU4,BUNKER ADJUSTMENT - 40 FOOT CONTAINER
BUA,BUNKER ADJUSTMENT
BW,BILL SHIPPER FOR WEIGH CHARGE
CA2,CURRENCY ADJUSTMENT - 20 FOOT CONTAINER
CA4,CURRENCY ADJUSTMENT - 40 FOOT CONTAINER
CAR,ROEE CAR OR PICKUP TRUCK
CBC,CASE LABEL BAR CODE
CC,"CONTAINER, CONSOLIDATOR LOAD"
CCB,CONVERT COMMERCIAL BILL OF LADING (BOL) TO GOVERNMENT BOL
CCH,CERTIFICATION
CCS,CARRIER CABOOSE
CD,ATTACHMENT - CUSTOMER'S DOCUMENT
CDD,CORROSION ADDITIVE SERVICE
CE,CLEARED FOR EXPORT
CF,"CONTAINER, FACTORY LOAD"
CFC,CUSTOMS FEES - CONTAINER LEVEL
CFL,CUSTOMS FEES - LIFT LEVEL
CGC,CARRIER GUARD CAR SERVICE
CGR,RETURN CARRIER GUARD CAR SERVICE
CGT,CARGO TAXES
CH,CARRIER
CHN,CHAIN AND BINDERS
CI,CUSTOMS INSPECTION
CIP,COMMERCIAL INVOICE PREPARATION
CIS,CONSTANT SURVEILLANCE
CLN,CLEANING
CLS,CLASS RATES APPLIED
CM,ATTACHMENT - COTTON MANIFEST
CMD,COMB. RATES OVER DETROIT
CNL,CONSOLIDATION AND LINE HAUL
CNS,CONSOLIDATION
CO,NO MARSHALLING REQUIRED FOR HAZARDOUS MATERIALS
CON,CONTRACT RATES APPLY
COR,CERTIFICATION THAT THE NEWSPRINT WINDING CORES BEING RETURNED EMP
COU,CONSIGNEE UNLOAD
COV,"COURIER, OVERNIGHT"
CPC,COPILOT SERVICE
CPM,CUSTOMS PAPERS MAILED
CR,CIRCUS RAMP ONLY (TOFC VAN)
CRL,CONTAINER LEASE
CSD,"COURIER, SAME DAY"
CSP,GOVERNMENT CABOOSE
CTL,CONTROLLED ATMOSPHERE
CTM,CONTAINER MOUNTING
CTR,CIRCUITOUS ROUTING
CUF,CURRENCY ADJUSTMENT - BREAK BULK
CW,BILL CONSIGNEE FOR WEIGH CHARGES
CX,TOP LOAD ONLY
CY,CERTIFICATION THAT THIS SHIPMENT IS FOR RECYCLING AS DEFINED IN A
DA,DANGEROUS
DBL,DOUBLE WIDE SEPARATE AND REASSEMBLE
DBP,DELIVERY OF FUEL FROM BARGE TO PIPELINE
DCS,DOD CONSTANT SURVEILLANCE SERVICE
DDN,DUAL DRIVER WITH NATIONAL AGENCY CHECK
DDP,DUAL DRIVER PROTECTIVE SERVICE
DDS,DIRECT DELIVERY
DDZ,DRAYAGE AT PORT OF DEBARKATION (RATE ZONE)
DE,DEMURRAGE
DEL,DELIVERY SERVICE
DEP,DETENTION OF CONVEYING EQUIPMENT AND THE POWER UNIT
DET,DETENTION OF CONVEYING EQUIPMENT EXCLUDING THE POWER UNIT
DEZ,DRAYAGE AT PORT OF EMBARKATION (RATE ZONE)
DFD,KEEP FROM FREEZING PERCENT DIFFERENTIAL
DFM,410 DROMEDARY WITH MECHANICAL RESTRAINING DEVICES
DFS,410 DROMEDARY
DIS,DISTRIBUTION SERVICE REQUESTED
DLP,DELIVERY OF FUEL FROM RAIL TANK CAR TO PIPELINE
DLR,NOTIFY SHIPPER IMMEDIATELY IF SHIPMENT IS DELAYED EN ROUTE
DM,DOMESTIC
DN,SHIPPER AUTHORIZATION REQUIRED FOR DIVERSION OR CONSIGNMENT
DNC,DO NOT COUPLE TO OTHER DIAPHRAGMED CARS
DNF,DO NOT FREEZE
DNT,DO NOT COUPLE TO TANK CARS
DOC,DOCUMENTATION - SPECIAL
DOV,CONTAINER DIVERSION
DPB,DELIVERY OF FUEL FROM PIPELINE TO BARGE
DPD,DRAYAGE AT PORT OF DEBARKATION
DPE,DRAYAGE AT PORT OF EMBARKATION
DPL,DELIVERY OF FUEL FROM PIPELINE TO RAIL TANK CAR
DPT,DELIVERY OF FUEL FROM PIPELINE TO TANK TRUCK OR TRAILER
DPU,DETENTION WITH POWER UNITS (30 MINUTE PERIODS)
DR,DROP YARD
DRO,DROP-OFF DELIVERY
DRU,DRUMMING SERVICE
DS,DELIVERY ONLY ON SURRENDER OF WRITTEN ORDER
DSK,DO NOT COUPLE TO DOUBLE SHELF COUPLES
DSM,DROMEDARY WITH MECHANICAL RESTRAINING DEVICES
DSR,DROMEDARY SERVICE REQUESTED
DSV,DOOR SIDE VANNING
DT,DEAD IN TOW
DTB,LABOR ASSOCIATED WITH DETENTION OF CONVEYING EQUIPMENT
DTP,DELIVERY OF FUEL FROM TANK TRUCK OR TRAILER TO PIPELINE
DTV,DETENTION (VEHICLE)
DU,DO NOT UNCOUPLE
DV,EQUIPMENT
DW,DESTINATION WEIGHTS APPLY
DWP,DETENTION WITH POWER UNITS (60 MINUTE PERIODS)
EAX,EXTRA AXLES
ECR,ESCORT/COURIER SERVICE
ECS,EMPTY RAILCAR ORDERED BUT NOT USED
ED,EXCESSIVE DIMENSIONS
EDD,EQUIPMENT HOSE AT DESTINATION
EDO,EQUIPMENT HOSE AT ORIGIN
EE,ELECTRONIC EQUIPMENT TRANSFER
EED,EXCLUSIVE USE
EL,ENVIRONMENTAL CONTROL LIMITS
ELS,EXTRA LIGHTS
EMR,EMERGENCY SERVICE
EMT,EMPTY MOVEMENT
END,ENDORSEMENT
EP,EXPEDITE
ER,RETURN EMPTY VIA REVERSE ROUTE
ERS,EMPTY RETURN
ERT,SATISFACTORY SERVICE STANDARDS
EV,DAMAGES INCURRED IF SHIPMENT FAILS TO MEET VESSEL LOADING
EVC,EXCESSIVE VALUATION AUTHORIZED
EW,EXCESSIVE WEIGHT
EX,EXPLOSIVE FLAMMABLE GAS
EXC,EXCLUSIVE USE OF VEHICLE
EXD,EXTRA DRIVER
EXL,EXTRA LENGTH SURCHARGE
EXO,EXPORT PREPARATION
EXP,EXPEDITED RATES APPLIED
EXQ,EXPEDITED SERVICE
EXT,EXTRA LABOR
EXU,EXCLUSIVE USE OF VEHICLE DAMAGED
EXZ,EXPAND REMOVE AND INSTALL
EZE,ROADWAY EASY RATES APPLIED
FA,"FACE ""A-END"" TO HEAD OF TRAIN"
FAK,BARGE FREIGHT ALL KINDS SERVICE
FAS,FIREARMS
FB,"FACE ""B-END"" TO HEAD OF TRAIN"
FC,"MOVING UNDER ""FOR FURTHERANCE INSTRUCTIONS"" AND MAY BE DELIVERED"
FCS,FURNISHING CHASSIS
FD,FULL SERVICE
FDD,FLAT DECK DELIVERY
FFC,FUEL FILTERS FURNISHED BY CARRIER
FFS,FUEL FILTERS FURNISHED BY SHIPPER
FG,FLAMMABLE GAS
FL,FLAMMABLE
FLS,FLATRACK SURCHARGE
FP,FLAMMABLE POISON GAS
FPT,FOR PROCESSING IN TRANSIT
FR,FRAGILE - HANDLE WITH CARE
FRZ,ACCEPTED BY CARRIER AT OWNER'S RISK OF FREEZING
FS,NONTRANSIT FLAT SHIPMENT
FST,FOR STORAGE IN TRANSIT
FTR,FILTRATION SERVICE
GA,GOODS ASTRAY
GI,GRAIN INSPECTION
GMS,GARMENT SURCHARGE
GOC,GOVERNMENT-OWNED CONTAINERS
GSP,GOVERNMENT GUARD CAR
GSS,GREATER SECURITY SERVICE
HAL,HOLD AT LOCATION
HAN,HANDLING
HAZ,HAZARDOUS CARGO
HBB,HANDLING FREIGHT NOT ADJACENT TO VEHICLE
HBR,HAND BRAKES AT EACH END MUST BE RELEASED
HDH,SHIPMENT HOLDOVER FOR HOLIDAYS
HDW,SHIPMENT HOLDOVER FOR WEEKENDS
HE,HEAD END CAR
HEA,HEAT IN TRANSIT
HES,HEAT - SPECIAL
HET,HEAT WITH STEAM
HH,HOUSEHOLD
HM,ENDORSED AS HAZARDOUS MATERIAL
HMA,ACCESSIBLE HAZARDOUS MATERIAL
HMI,INACCESSIBLE HAZARDOUS MATERIAL
HO,HOLD FOR ORDERS
HOL,SUNDAY OR HOLIDAY PICKUP OR DELIVERY
HOR,24 HOUR AVAILABILITY
HOS,HOSE
HOX,SPECIAL HOSE
HP,HEATED PRIOR TO LOADING
HQT,HIGH CUBE TRAILER RATES
HR,HOME FOR REPAIR
HRS,HEATER OR REFRIGERATION
HT,HEAT
HTI,HITCH INSTALLATION
HV,HIGH VALUE LOAD
HW,HIGH WIDE LOAD
HZC,HAZARDOUS MATERIALS SURCHARGE
HZD,HAZARDOUS CARGO ON DECK
IB,IN-BOND
IC,ICE
ID,SHIPMENT TO BE INSPECTED AT DESTINATION AND DISPOSITION INSTRUCTI
IDC,IDLER CAR
IDL,INSIDE DELIVERY
IIH,ICING INHIBITOR SERVICE
IM,INTEROFFICE MOVE
IMP,IMPACTOGRAPHS
IMS,INTERMODAL SHIPMENT SERVICE
INT,INTRA-PLANT MOVE
IP,IMPORT SHIPMENT
IPU,INSIDE PICKUP
IR,RAIL INCENTIVE RATE
IS,SURVEILLANCE SERVICE
ITS,INTERLINE TRANSFER SERVICE
JIT,JUST-IN-TIME (JIT)
JLX,JOINT LINE EXCEPTION
JS,JUNCTION SETTLEMENT ACCOUNT
KEG,CERTIFICATION THAT THE CONTAINERS BEING RETURNED EMPTY WERE RECEI
KMD,KEEP MATERIAL DRY
LAB,LABOR DISTURBANCE
LAS,COMMINGLING/LOSS ALLOWANCE
LAY,LAYOVER
LB,LAND BRIDGE (IMPORT/EXPORT)
LBL,APPLY A UNIFORM CODE COUNCIL/INTERNATIONAL ARTICLE NUMBERING ASSO
LBR,LIGHT BAR SERVICE
LBT,LOW BOY TRAILER/FLAT BED
LC,CAR TRIP LEASED TO CONSIGNEE
LC2,LAND CURRENCY ADJUSTMENT FACTOR - 20 FOOT CONTAINER
LC4,LAND CURRENCY ADJUSTMENT - 40 FOOT CONTAINER
LCL,PERCENT DIFFERENTIAL - LESS THAN CONTAINER
LD,LOADING DEVICES
LEC,LESS THAN CONTAINER
LF,LOADED TO FULL VISIBLE CAPACITY
LFD,LINEHAUL FROM PORT OF DEBARKATION
LHS,LINEHAUL SERVICE
LIE,LIABILITY OF CARRIER
LMD,LINER TERMS AT PORT OF DEBARKATION
LME,LINER TERMS AT PORT OF EMBARKATION
LN,"LESS THAN CONTAINER, CONSOLIDATOR LOAD"
LP,PROTECT LOWEST THROUGH RATE
LPD,LINEHAUL PERCENT DIFFERENTIAL
LR,"LESS THAN CONTAINER, FACTORY LOAD"
LS,LOCAL SERVICE ONLY
LT,LESS THAN FULL CARLOAD
LTE,LINEHAUL TO PORT OF EMBARKATION
LTT,LESS THAN TRUCKLOAD
LYC,LAYOVER SERVICE
MAT,MODIFIED ATMOSPHERE
MC,PERSON IN CHARGE OF CAR
MEN,ESCORT SERVICE WITH OVERNIGHT SUBSISTENCE
MES,ESCORT
MET,ESCORT SERVICES (TELEPHONE)
MF,CLEARED FOR BORDER CROSSING
MIN,INSULATED
MNS,MOTOR SURVEILLANCE SERVICE
MOT,OTHER
MP,MULTIPLE PICKUP
MR,MECHANICAL REFRIGERATION
MRF,REFRIGERATED
MTE,MILITARY TRAFFIC EXPEDITING SERVICE
MVS,SPECIAL MOTOR SURVEILLANCE
NC,NOTIFY CONSIGNEE BEFORE DELIVERY
ND,DO NOT DIVERT
NE,NO SPECIAL ENTRAINMENT REQUIRED
NG,NIGHT DELIVERY SERVICE
NH,DO NOT HUMP
NHC,DO NOT HUMP OR HUMP INTO
NHL,DO NOT USE HELPER LOCOMOTIVE TO PUSH
NI,NEW EQUIPMENT FIRST TRANSBORDER MOVEMENT
