Value,Description
1,CCC (CUSTOMS CO-OPERATION COUNCIL)
10,NEAREST CROSS STREET
10,ODETTE
100,"CH, ENTREPRISE DES PTT"
101,"CH, CARBURA"
102,"CH, CENTRALE SUISSE POUR L'IMPORTATION DU CHARBON"
103,"CH, OFFICE FIDUCIAIRE DES IMPORTATEURS DE DENREES"
104,"CH, ASSOCIATION SUISSE CODE DES ARTICLES"
105,"DK, MINISTRY OF TAXATION, CENTRAL CUSTOMS AND TAX"
106,"FR, DIRECTION GENERALE DES DOUANES ET DROITS INDIRECTS"
107,"FR, INSEE"
108,"FR, BANQUE DE FRANCE"
109,"GB, H.M. CUSTOMS & EXCISE"
11,LLOYD'S REGISTER OF SHIPPING
11,SECONDARY CROSS STREET
110,"IE, REVENUE COMMISSIONNERS, CUSTOMS AEP PROJECT"
111,"US, U.S. CUSTOMS SERVICE"
112,"US, U.S. CENSUS BUREAU"
113,"US, UCC (UNIFORM CODE COUNCIL)"
114,"US, ABA (AMERICAN BANKERS ASSOCIATION)"
115,"US, DODAAC (DEPARTMENT OF DEFENSE ACTIVE AGENCY CODE)"
116,"US, ANSI ASC X12"
117,"AT, GELDAUSGABEAUTOMATEN-SERVICE GESELLSCHAFT M.B.H."
118,"SE, SVENSKA BANKFOERENINGEN"
119,"IT, ASSOCIAZIONE BANCARIA ITALIANA"
12,RANGE
12,UIC (INTERNATIONAL UNION OF RAILWAYS)
120,"IT, SOCIEATA' INTERBANCARIA PER L'AUTOMAZIONE"
121,"CH, TELEKURS AG"
122,"CH, SWISS SECURITIES CLEARING CORPORATION"
123,"NO, NORWEGIAN INTERBANK RESEARCH ORGANIZATION"
124,"NO, NORWEGIAN BANKERS ASS."
125,"FI, THE FINNISH BANKERS' ASSOCIATION"
126,"US, NCCMA (ACCOUNT ANALYSIS CODES)"
128,"BE, BELGIAN BANKERS' ASSOCIATION"
129,"BE, BELGIAN MINISTRY OF FINANCE"
13,ICAO (INTERNATIONAL CIVIL AVIATION ORGANISATION)
13,SECTION
130,"DK, PBS (PENGAINSTITUTTERNES BETALINGS SERVICE)"
131,"DE, GERMAN BANKERS ASSOCIATION"
132,"GB, BACS LIMITED"
133,"GB, ASSOCIATION FOR PAYMENT CLEARING SERVICES"
134,"GB, CHAPS AND TOWN CLEARING COMPANY LTD."
135,"GB, THE CLEARING HOUSE"
136,"GB, ARTICLE NUMBER ASSOCIATION (UK) LIMITED"
137,"AT, VERBAND OESTERREICHISCHER BANKEN UND BANKIERS"
138,"FR, CFONB (COMITE FRANCAIS D'ORGAN. ET DE NORMALISATION"
139,UPU (UNIVERSAL POSTAL UNION)
14,ICS (INTERNATIONAL CHAMBER OF SHIPPING)
14,QUARTER SECTION
140,"CEC (COMMISSION OF THE EUROPEAN COMMUNITIES), DG/XXI-01"
141,"CEC (COMMISSION OF THE EUROPEAN COMMUNITIES), DG/XXI-B-1"
142,"CEC (COMMISSION OF THE EUROPEAN COMMUNITIES), DG/XXXIV"
143,"NZ, NEW ZEALAND CUSTOMS"
144,"NL, NETHERLANDS CUSTOMS"
145,"SE, SWEDISH CUSTOMS"
146,"DE, GERMAN CUSTOMS"
147,"BE, BELGIAN CUSTOMS"
148,"ES, SPANISH CUSTOMS"
149,"IL, ISRAEL CUSTOMS"
15,RINET (REINSURANCE AND INSURANCE NETWORK)
150,"HK, HONG KONG CUSTOMS"
151,"JP, JAPAN CUSTOMS"
152,"SA, SAUDI ARABIA CUSTOMS"
153,"IT, ITALIAN CUSTOMS"
154,"GR, GREEK CUSTOMS"
155,"PT, PORTUGUESE CUSTOMS"
156,"LU, LUXEMBOURG CUSTOMS"
157,"NO, NORWEGIAN CUSTOMS"
158,"FI, FINNISH CUSTOMS"
159,"IS, ICELAND CUSTOMS"
16,DUNS (DUN & BRADSTREET)
160,"LI, LIECHTENSTEIN AUTHORITY"
161,UNCTAD (UNITED NATIONS - CONFERENCE ON TRADE AND
162,"CEC (COMMISSION OF THE EUROPEAN COMMUNITIES), DG/XIII-D-5"
